block,trial,cueposbin,cueposdeg,cuevalid,wmresptestimgdiff,wmrespcuediff,wmrespdeg,wmrts,imageposbin0,imageposbin1,imageposbin2,imageposbin3,imageposdeg0,imageposdeg1,imageposdeg2,imageposdeg3,imagenum0,imagenum1,imagenum2,imagenum3,mouseposdeg,artifactfree
0,0,5.0,236.4461542047062,1,6.506938662580014,6.506938662580014,-130.0607844578738,1.1838333569016868,5.0,6.0,3.0,1.0,236.4461542047062,310.66104771779897,175.85610191785298,81.11778532188958,660,1021,1565,1384,228.33332881729032,1.0
0,1,2.0,96.84657750091351,1,-10.011821266824786,-10.011821266824786,106.8583987677383,2.025795936101531,2.0,7.0,4.0,3.0,96.84657750091351,348.755913840656,213.2353852651218,149.32450184590087,503,568,730,407,226.5639898854081,1.0
0,2,7.0,325.3739750380549,1,4.479366891019315,4.479366891019315,-39.10539185296446,1.6340364605903233,7.0,3.0,1.0,4.0,325.3739750380549,160.9984785592147,67.60416550905737,221.098258017512,1547,876,1808,2350,164.5297711756414,0.0
0,3,5.0,258.8537762191886,0,-97.36537638628275,-145.12924575009222,43.98302196928082,1.7506138156122688,5.0,6.0,0.0,4.0,258.8537762191886,306.6176455829981,36.811075601368,192.37482241433653,743,1424,393,1192,221.0015905326359,1.0
0,4,0.0,15.590934850445361,1,-5.584804566659221,-5.584804566659221,21.175739417104584,1.1088734416553052,0.0,1.0,3.0,6.0,15.590934850445361,58.23941538899766,139.18322138512752,290.4753517823598,1396,488,1821,1627,35.08980512722743,1.0
0,5,1.0,55.018825521520874,1,-2.548617232019774,-2.548617232019774,57.56744275354065,1.4839170616219235,1.0,4.0,3.0,7.0,55.018825521520874,205.67362087157275,164.2979662677254,315.12253125160254,2155,1722,1730,1153,191.07264564036475,1.0
0,6,1.0,68.16538174869025,1,-7.103212380392427,-7.103212380392427,75.26859412908269,1.5505928894322096,1.0,4.0,6.0,2.0,68.16538174869025,221.28749056935885,313.4001801319043,124.58739723914917,1286,222,264,1680,126.07515246513803,1.0
0,7,0.0,1.5612231966576207,1,-10.12814597878157,-10.12814597878157,11.689369175439191,1.525724376548169,0.0,4.0,5.0,1.0,1.5612231966576207,214.93385631622706,266.1615135467894,61.67556479649342,1084,2187,897,645,344.99122388926355,1.0
0,8,3.0,170.11948710702558,1,-5.097031944206972,-5.097031944206972,175.21651905123255,1.2839503040286218,3.0,6.0,5.0,7.0,170.11948710702558,276.52599845129345,232.88701977228263,318.5378593495431,354,397,113,2071,96.10209515341631,1.0
0,9,4.0,207.34986489219656,0,52.22761334570838,-10.172804801142625,-142.4773303066608,1.5337453186934908,4.0,5.0,7.0,0.0,207.34986489219656,269.7502830390476,325.3560266442683,27.72008532738935,112,1784,1488,775,200.24239381291986,1.0
0,10,0.0,7.296690279668151,0,5.650883408955972,53.981374597564454,-46.6846843178963,1.4588609543707207,0.0,7.0,5.0,3.0,7.296690279668151,318.9661990910597,258.48244325820656,152.7523011413395,1454,1585,925,745,299.0589921621396,1.0
0,11,2.0,105.55371452985435,1,1.1131728765562827,1.1131728765562827,104.44054165329806,1.2005167112943127,2.0,5.0,1.0,7.0,105.55371452985435,244.65931060486332,55.31503326993003,324.9717648717918,1398,1767,1360,1238,10.078219592510651,1.0
0,12,1.0,53.37420757302728,1,-6.7320912581735035,-6.7320912581735035,60.10629883120078,1.0422087326601286,1.0,2.0,7.0,6.0,53.37420757302728,130.34167472147337,347.117588635655,275.01144984146464,1429,901,478,1963,61.221429889993,1.0
0,13,2.0,120.7064037515023,0,-77.44956279165268,-1.043310562225069,121.74971431372737,1.108807013862588,2.0,0.0,3.0,6.0,120.7064037515023,44.300151522074685,176.45479489729308,290.86455927668015,2362,2358,862,1490,310.169676580852,1.0
0,14,7.0,316.4258326573003,1,11.904445776827583,11.904445776827583,-55.478613119527296,1.3424053361186452,7.0,5.0,3.0,1.0,316.4258326573003,232.87852590135333,169.72993593361048,57.79557352701788,633,814,2067,593,153.26898189149227,1.0
0,15,3.0,152.4893359855811,1,-6.456166396102219,-6.456166396102219,158.94550238168333,1.317313591639504,3.0,5.0,0.0,1.0,152.4893359855811,245.05076414668792,32.66239865373477,80.46744057733409,749,1728,1025,20,217.6940084827991,1.0
0,16,4.0,204.76200880514045,1,8.580412559957834,8.580412559957834,-163.8184037548174,1.5838375763491968,4.0,7.0,6.0,3.0,204.76200880514045,338.3907115164982,296.8318080334376,150.75098891155076,1556,588,1389,1756,40.38280740501145,1.0
0,17,6.0,291.6845152621956,1,-4.340025727751745,-4.340025727751745,-63.97545901005269,1.1173017885894296,6.0,0.0,4.0,1.0,291.6845152621956,2.2174148268603577,195.40449804315747,87.05905374743463,650,1881,1380,641,322.71652319826006,1.0
0,18,3.0,137.2949790695128,1,4.666821259301987,4.666821259301987,132.6281578102108,1.2087617403281001,3.0,7.0,0.0,5.0,137.2949790695128,333.79592140079916,37.39774581079529,227.51469095758554,30,1529,2274,1197,23.159898839344674,1.0
0,19,7.0,347.9178071378167,1,-19.62871548661906,-19.62871548661906,7.546522624435708,1.8339450582284371,7.0,6.0,4.0,0.0,347.9178071378167,299.5830135011048,200.55503386717606,41.91852376463964,258,1524,504,919,47.59841420537323,1.0
0,20,5.0,232.05397399954697,0,-30.735693471267197,103.3566193684506,128.6973546310964,1.9755294836763824,5.0,2.0,3.0,6.0,232.05397399954697,97.9616611598292,154.9722768043419,306.6490539542009,293,1203,1393,2146,294.50973084153605,1.0
0,21,4.0,220.50928370158107,1,-4.829740622870423,-4.829740622870423,-134.66097567554854,1.167314218854699,4.0,2.0,7.0,0.0,220.50928370158107,109.5430497537909,339.0486443836312,26.093480416338753,1799,1243,319,699,212.22426648667772,1.0
0,22,6.0,310.62774700290805,0,2.434232378629543,63.07050036820241,-112.44275336529437,1.3671523973307558,6.0,5.0,0.0,7.0,310.62774700290805,249.99147901333518,37.47152948634146,352.84526731763975,1334,1408,2333,764,271.51868401369745,1.0
0,23,6.0,291.15357139328364,1,-5.1906878920707715,-5.1906878920707715,-63.655740714645596,1.2172439707514968,6.0,3.0,0.0,2.0,291.15357139328364,167.96223820565177,0.37866118086900824,91.37578695014955,2229,1295,5,513,209.76231886723963,1.0
