block,trial,cueposbin,cueposdeg,cuevalid,wmresptestimgdiff,wmrespcuediff,wmrespdeg,wmrts,imageposbin0,imageposbin1,imageposbin2,imageposbin3,imageposdeg0,imageposdeg1,imageposdeg2,imageposdeg3,imagenum0,imagenum1,imagenum2,imagenum3,mouseposdeg,artifactfree
0,0,1.0,52.12619720363327,1,2.1191107765273625,2.1191107765273625,50.007086427105904,3.467471001357808,1.0,2.0,0.0,4.0,52.12619720363327,130.28896454527103,2.1270141456729985,216.6542283436715,1740,997,210,1181,140.63975044710108,1.0
0,1,4.0,183.22296226410813,0,-7.76922055381544,72.44299720941163,110.7799650546965,3.6509089747969483,4.0,2.0,6.0,1.0,183.22296226410813,103.01074450088106,309.3740313622977,62.548287782121406,1742,723,1064,1338,88.15527208198833,0.0
0,2,6.0,281.49605049642224,1,-6.248621128634709,-6.248621128634709,-72.25532837494306,1.9923970329382428,6.0,7.0,5.0,3.0,281.49605049642224,344.7832674592361,231.70964056793747,154.1820080811707,152,2275,2084,1446,176.2372951610928,1.0
0,3,5.0,268.58219555067865,1,-14.394226329333465,-14.394226329333465,-77.02357811998793,1.9681022061377007,5.0,3.0,4.0,0.0,268.58219555067865,166.86185291048187,221.74044481136167,19.641160633561938,553,272,904,1760,148.21090367077502,0.0
0,4,3.0,149.36246678755978,1,5.285412986630354,5.285412986630354,144.07705380092943,2.55896575927909,3.0,7.0,5.0,2.0,149.36246678755978,336.3590069666759,241.9794614944919,97.01475906141985,915,2121,2164,840,245.20021831912257,1.0
0,5,1.0,79.18200295022535,1,156.33429809150772,156.33429809150772,-77.15229514128234,1.7006575477439583,1.0,6.0,3.0,0.0,79.18200295022535,295.3511064779309,177.09194420580937,17.63726346858259,172,335,324,665,123.15714243739623,1.0
0,6,0.0,4.272239751205648,0,-170.504322943944,110.63537650208042,-106.36313675087477,3.8008717126176634,0.0,1.0,6.0,5.0,4.272239751205648,83.13254030518127,307.9127728673576,240.22103317652142,1816,1014,555,808,216.32490594141132,1.0
0,7,0.0,19.442645142332747,1,-105.28199669278915,-105.28199669278915,124.72464183512189,3.0259398365478773,0.0,5.0,2.0,7.0,19.442645142332747,234.0937506738126,129.7368189643919,334.91492908652776,1295,734,782,1016,101.62595029443172,1.0
0,8,7.0,352.46990909150054,1,-71.49067433787908,-71.49067433787908,63.960583429379625,2.0753836407911876,7.0,2.0,3.0,1.0,352.46990909150054,125.37333123600459,176.19368092674242,79.98593522502438,1938,45,2276,2043,2.7716645649695026,1.0
0,9,2.0,125.61407704921767,0,-1.7415082006631946,51.22847848374586,74.38559856547181,2.5255888821288863,2.0,1.0,6.0,7.0,125.61407704921767,72.64409036480862,300.737372374852,354.92939054509765,1720,502,685,1545,320.76935223828326,1.0
0,10,5.0,236.23840420536297,1,-8.163923632855147,-8.163923632855147,-115.59767216178187,2.5923574614735116,5.0,2.0,3.0,6.0,236.23840420536297,97.4581051924776,149.27364053138479,294.46029391434905,740,120,1560,1049,72.42738910230884,1.0
0,11,6.0,275.7362972763123,0,2.863823383774367,48.94638666806625,-133.21008939175394,3.2424062985915043,6.0,5.0,7.0,3.0,275.7362972763123,229.65373399202042,345.6542209270869,177.95839436185315,104,197,827,1363,317.4693672502909,1.0
0,12,2.0,107.46671988821481,1,-10.68947156005776,-10.68947156005776,118.15619144827258,1.4090195570847754,2.0,4.0,7.0,0.0,107.46671988821481,216.47520582975565,323.25798619803186,5.172942235058761,1786,1359,372,1184,259.0496575479003,1.0
0,13,4.0,198.62105415693023,1,-4.88690580972522,-4.88690580972522,-156.49204003334455,2.592193530692839,4.0,5.0,1.0,7.0,198.62105415693023,244.43413850863038,54.45708318084751,349.94085486496647,1041,423,939,475,180.07518408881927,1.0
0,14,0.0,32.6722476199709,1,27.346506995203182,27.346506995203182,5.32574062476772,2.367384845041215,0.0,2.0,5.0,3.0,32.6722476199709,93.9127615976627,256.32781691718924,136.55201020511166,1279,968,2190,1519,97.60039869146807,1.0
0,15,5.0,255.52605224207318,0,5.076716968462419,112.98915505380126,142.53689718827192,1.0256256596435378,5.0,3.0,7.0,1.0,255.52605224207318,147.61361415673434,350.01314506555843,52.270588777804704,962,330,1231,1161,146.8564965850947,1.0
0,16,3.0,140.88051140583477,1,-166.13310444907506,-166.13310444907506,-52.9863841450902,2.084159782049028,3.0,0.0,4.0,7.0,140.88051140583477,10.172033154274843,196.81482720185645,321.64633590429463,201,2234,2051,75,314.5614264779531,1.0
0,17,3.0,138.3299224104358,0,-9.563831188751232,94.49228598393856,43.83763642649726,1.1838040379998347,3.0,0.0,4.0,7.0,138.3299224104358,34.27380523774603,207.713810847363,323.10095470536896,1354,146,1819,616,50.863103733809666,1.0
0,18,2.0,124.39837797958396,1,-100.94266429927492,-100.94266429927492,-134.65895772114115,1.8172619397200833,2.0,5.0,1.0,4.0,124.39837797958396,228.5498035963148,54.61435421109647,187.58984937944004,2154,1864,2124,142,158.79798324933412,1.0
0,19,1.0,78.67063256569885,1,163.82663219061817,163.82663219061817,-85.15599962491933,1.5839057606131064,1.0,3.0,7.0,6.0,78.67063256569885,179.65481839049588,359.2602549149446,287.3582818454244,1006,1155,1646,110,293.8536614487304,1.0
0,20,7.0,359.2053645787954,1,-0.5607763953313384,-0.5607763953313384,-0.233859025873267,1.8840008689753631,7.0,2.0,6.0,0.0,359.2053645787954,123.24803229919048,313.44291047256417,42.67529897910668,571,577,1766,1951,246.43978692396144,1.0
0,21,4.0,197.91492961761134,1,-83.34624050263885,-83.34624050263885,-78.73882987974983,1.5506868272063912,4.0,6.0,1.0,2.0,197.91492961761134,270.1969958043438,46.48206013301713,117.65239195362884,2224,248,563,2254,178.97943649731204,0.0
0,22,7.0,316.7199434678048,1,9.349658723168504,9.349658723168504,-52.62971525536375,1.5922861872209069,7.0,2.0,1.0,0.0,316.7199434678048,133.08221795202684,82.53211396586815,1.250350024048596,1824,1311,95,1613,337.9896185455871,1.0
0,23,6.0,310.2778443086786,1,0.32029537784947654,0.32029537784947654,-50.042451069170916,1.3934700810646063,6.0,2.0,3.0,4.0,310.2778443086786,107.76196584026924,152.81035582931096,222.20220888259337,1101,65,1529,1664,228.62891856852798,1.0
1,0,2.0,105.89977676237125,1,-8.875363806460687,-8.875363806460687,114.77514056883193,1.558895625414607,2.0,0.0,1.0,5.0,105.89977676237125,4.836131852674531,64.59273215262526,251.5086874804195,495,1238,1365,2295,130.10735705821247,1.0
