block,trial,conditionNum,ltmtrialsoldnew,ltmTrialsOldInvalidCued,ltmTrialsOldInvalidTested,ltmTrialsOldValidCued,ltmWMblockNum,ltmWMtrialNum,ltmWMimageNum,imageNum,ltmrating,ltmratingrts,ltmresptestimgdiff,ltmrespcuediff,ltmrespwmrespdiff,ltmrespdeg,mousposdeg,ltmresprts,artifactfree
0,0,1,1.0,0.0,0.0,1.0,0,23,0,29.0,1.0,1.300153839662471,-14.655905146602514,-14.655905146602514,-8.041848230975724,118.39875301282919,214.39315009578908,3.892375243332026,0.0
0,1,1,1.0,0.0,0.0,1.0,0,2,0,411.0,1.0,1.8665783048440971,-30.054438581806725,-30.054438581806725,-19.986415292778126,-94.38006045506366,193.34156539027842,4.684112091979841,0.0
0,2,0,0.0,0.0,0.0,0.0,0,0,0,1974.0,4.0,2.2336204664911747,0.0,0.0,0.0,0.0,109.812828333902,0.0,1.0
0,3,1,1.0,0.0,0.0,1.0,0,5,0,331.0,1.0,1.80024136519296,6.34420808040671,6.34420808040671,28.956186332225183,104.85386473563237,309.24053896414796,2.1006965549722736,1.0
0,4,1,1.0,0.0,0.0,1.0,0,6,0,1363.0,2.0,4.24185385346118,113.17438117809395,113.17438117809395,115.0873816294137,8.200146059498797,133.10866032586938,1.4839651517240782,1.0
0,5,3,1.0,0.0,1.0,0.0,0,12,1,2282.0,1.0,2.1836547924649494,10.95367400480563,56.68875238069165,26.396482809211193,-155.80374741220876,322.19468541388227,2.225725207466894,0.0
0,6,2,1.0,1.0,0.0,0.0,0,15,0,1812.0,3.0,4.925490399561568,144.53744259189736,-30.724091489402383,-34.23093005809585,22.967693400560925,186.32127844128962,1.7339694282159144,1.0
0,7,1,1.0,0.0,0.0,1.0,0,9,0,1736.0,1.0,1.4668768609867584,-136.84196774330846,-136.84196774330846,-128.74501213540094,-73.50401152181144,338.0863033124679,1.5254810482988432,0.0
0,8,0,0.0,0.0,0.0,0.0,0,0,0,1831.0,4.0,1.4167549524627248,0.0,0.0,0.0,0.0,294.83215823532527,0.0,1.0
0,9,0,0.0,0.0,0.0,0.0,0,0,0,1200.0,4.0,1.5920751476528494,0.0,0.0,0.0,0.0,189.4827819705377,0.0,1.0
0,10,1,1.0,0.0,0.0,1.0,0,18,0,1552.0,1.0,1.2835276951309424,6.507945316118565,6.507945316118565,0.3374537328144577,-53.179156947917534,266.9637886647185,1.3672437269565307,0.0
0,11,2,1.0,1.0,0.0,0.0,0,17,0,356.0,1.0,1.61686397449148,-122.1540408571309,1.9946245434381527,-128.87053912141732,76.78725312166476,359.3618610508474,1.4923006042968154,1.0
0,12,1,1.0,0.0,0.0,1.0,0,21,0,769.0,1.0,1.149911847250678,45.90896786336685,45.90896786336685,42.971196095216705,-60.64224645720873,39.16185591547385,1.4339247816424177,0.0
0,13,2,1.0,1.0,0.0,0.0,0,20,0,1638.0,3.0,3.949946800442831,-163.55169507947141,48.54786531721827,-151.11080381793974,-32.7352262721076,138.38056697032852,2.492542653728833,1.0
0,14,0,0.0,0.0,0.0,0.0,0,0,0,1375.0,4.0,1.4335669818347014,0.0,0.0,0.0,0.0,264.0623554850447,0.0,1.0
0,15,3,1.0,0.0,1.0,0.0,0,15,1,326.0,1.0,1.4335242169172489,-179.62656841460196,5.111897504098343,1.605058935404865,-12.86829559293979,312.28618402791,1.2005209907320022,0.0
0,16,0,0.0,0.0,0.0,0.0,0,0,0,1425.0,4.0,1.758432386385266,0.0,0.0,0.0,0.0,324.5850342220806,0.0,1.0
0,17,0,0.0,0.0,0.0,0.0,0,0,0,555.0,4.0,2.3167865414811786,0.0,0.0,0.0,0.0,37.82172549085916,0.0,1.0
0,18,0,0.0,0.0,0.0,0.0,0,0,0,273.0,4.0,1.6669317141204374,0.0,0.0,0.0,0.0,151.78193103343713,0.0,1.0
0,19,1,1.0,0.0,0.0,1.0,0,7,0,1447.0,1.0,1.4836455552426742,7.795344942204833,7.795344942204833,3.5994011517273337,58.099843082266275,128.8538643918269,1.8921628442435576,0.0
0,20,0,0.0,0.0,0.0,0.0,0,0,0,1492.0,4.0,1.5584405402296397,0.0,0.0,0.0,0.0,41.91002741427479,0.0,1.0
0,21,0,0.0,0.0,0.0,0.0,0,0,0,551.0,4.0,0.9582557387666384,0.0,0.0,0.0,0.0,168.14295983328023,0.0,1.0
0,22,3,1.0,0.0,1.0,0.0,0,1,1,642.0,4.0,1.1335012379017826,136.76863088698664,95.10125299733552,139.081958101596,-53.27286562892126,108.61547676827003,6.63462795092164,0.0
0,23,0,0.0,0.0,0.0,0.0,0,0,0,753.0,4.0,1.0252350074756578,0.0,0.0,0.0,0.0,40.5572007251618,0.0,1.0
0,24,1,1.0,0.0,0.0,1.0,0,13,0,1030.0,1.0,1.1411726938590618,-7.904295003090511,-7.904295003090511,-5.249187520734313,77.5781371587423,350.85176252837823,1.266924358554661,1.0
0,25,0,0.0,0.0,0.0,0.0,0,0,0,2271.0,4.0,1.1168927695357524,0.0,0.0,0.0,0.0,134.08324399258788,0.0,1.0
0,26,0,0.0,0.0,0.0,0.0,0,0,0,462.0,4.0,3.6671843122317114,0.0,0.0,0.0,0.0,223.23463302829327,0.0,1.0
0,27,1,1.0,0.0,0.0,1.0,0,10,0,2310.0,4.0,1.7001817223886064,64.92475638784204,64.92475638784204,82.09930650751787,72.20699383308256,10.464763982827488,2.600798335475247,1.0
