block,trial,cueposbin,cueposdeg,cuevalid,wmresptestimgdiff,wmrespcuediff,wmrespdeg,wmrts,imageposbin0,imageposbin1,imageposbin2,imageposbin3,imageposdeg0,imageposdeg1,imageposdeg2,imageposdeg3,imagenum0,imagenum1,imagenum2,imagenum3,mouseposdeg,artifactfree
0,0,3.0,137.20075263525524,1,-6.77187397964116,-6.77187397964116,143.9726266148964,2.4503371167074874,3.0,0.0,4.0,7.0,137.20075263525524,25.617807313001148,224.80374548203602,342.60041756603465,1993,132,1714,56,272.65725984337337,1.0
0,1,1.0,52.81400300234589,1,3.839114453774633,3.839114453774633,48.97488854857126,1.8503383711486094,1.0,3.0,7.0,5.0,52.81400300234589,136.22401047332144,335.59906889594623,240.0116993639265,1189,2325,248,1545,122.40134144081865,1.0
0,2,0.0,33.534415957259256,0,6.559772246959933,-51.854934724080145,85.3893506813394,2.417013182176561,0.0,2.0,4.0,6.0,33.534415957259256,91.94912292829933,184.54663037867073,290.7280338076098,1208,1533,589,1441,60.33569634329369,1.0
0,3,0.0,10.862515873796442,1,-9.803607557156818,-9.803607557156818,20.66612343095326,2.5503260263103584,0.0,5.0,4.0,2.0,10.862515873796442,250.31119084692205,207.62993719905188,97.06079598059483,120,504,1853,1934,46.75854719398189,1.0
0,4,3.0,149.4265343776672,1,-2.304952835203683,-2.304952835203683,151.7314872128709,2.267041364329998,3.0,7.0,5.0,6.0,149.4265343776672,346.20224990520154,251.63723975338627,293.0520692341542,604,91,1642,1090,107.86834132174486,1.0
0,5,1.0,66.94787731176586,1,-0.8030990310217722,-0.8030990310217722,67.75097634278764,2.3670362610364464,1.0,4.0,2.0,6.0,66.94787731176586,207.56454087344667,133.05354597338928,272.2147199581941,2311,1057,883,2349,235.95983933981879,1.0
0,6,5.0,264.6851413672804,1,8.199474153838436,8.199474153838436,-103.51433278655803,2.916988521012172,5.0,0.0,7.0,1.0,264.6851413672804,28.317543628558287,333.2785264663935,82.76519624567507,782,1154,611,2260,107.72421660395113,1.0
0,7,0.0,37.49836059412907,1,1.5612167084719877,1.5612167084719877,35.93714388565708,2.3336889482916376,0.0,4.0,6.0,7.0,37.49836059412907,190.6238241881113,278.026583056555,350.9197717720821,1056,2355,807,1439,217.25539144291642,1.0
0,8,4.0,188.18514686030315,0,-19.375649566947445,50.0689685880178,138.11617827228537,2.7503166750248056,4.0,2.0,6.0,5.0,188.18514686030315,118.74052870533791,297.8299276597333,256.83123482880416,992,1839,2346,734,254.29957480305887,0.0
0,9,2.0,126.31133182619357,1,-11.877804088539841,-11.877804088539841,138.18913591473338,2.4003562041652913,2.0,1.0,4.0,5.0,126.31133182619357,54.41302680180303,186.1476614792289,227.31012651161444,434,996,1753,1994,139.48454885503577,1.0
0,10,6.0,301.14895343070515,0,-10.47561352894228,53.1313916338238,-111.98243820311865,2.4503473803142697,6.0,5.0,7.0,3.0,301.14895343070515,237.5419482679391,348.4667632546807,148.32662092112827,1799,1700,1465,332,177.8562249998026,1.0
0,11,4.0,199.4752804997322,0,1.5691909166784987,154.81033971834134,44.66494078139087,2.516953054549049,4.0,1.0,5.0,7.0,199.4752804997322,46.23413169806937,266.0950614084307,349.7643702534083,1861,61,1616,164,70.99291420364344,1.0
0,12,2.0,130.00973259442142,0,-5.184956757612973,-48.13518215208391,178.14491474650535,2.450345384612774,2.0,3.0,0.0,6.0,130.00973259442142,172.95995798889237,7.768689704737378,294.93290771933783,2192,1800,1721,1481,145.19029815558216,1.0
0,13,5.0,235.17377517812565,1,-2.450684828662349,-2.450684828662349,-122.37553999321203,2.2336606948629196,5.0,0.0,6.0,4.0,235.17377517812565,44.6410217519579,310.2002198090316,194.65749521639012,325,1531,1692,1116,27.33485456198507,1.0
0,14,4.0,187.22736539484958,1,-0.047639563039665336,-0.047639563039665336,-172.72499504211075,1.6503582711411582,4.0,6.0,5.0,7.0,187.22736539484958,304.98655124156926,252.0107695529466,349.88000120190793,1536,838,2054,1366,251.05236331428338,1.0
0,15,5.0,261.28786374781413,1,2.7433398025516684,2.7433398025516684,-101.45547605473755,2.433667024087299,5.0,6.0,7.0,4.0,261.28786374781413,301.3294797416022,342.9004892538586,205.00793484742496,1283,1581,1826,1474,123.89819172017775,1.0
0,16,6.0,284.83706510499377,0,-8.411204971425354,145.93272523389962,138.90433987109418,1.9836991121128449,6.0,2.0,7.0,5.0,284.83706510499377,130.49313489966883,338.4943857274234,231.50803641240205,2051,1003,1779,1022,133.45511220741446,1.0
0,17,6.0,298.36501305602303,1,-5.051568339289917,-5.051568339289917,-56.58341860468707,1.717041207524744,6.0,1.0,5.0,0.0,298.36501305602303,80.10409001876668,237.66751283449915,2.076507054194508,1496,1070,2041,1433,6.988159675622061,1.0
0,18,7.0,324.04474690822724,1,-1.2751496730145966,-1.2751496730145966,-34.68010341875818,2.050323602958997,7.0,0.0,2.0,5.0,324.04474690822724,26.72730982358535,126.03408943864059,249.16060248477464,2303,2310,176,1710,312.2739754173925,1.0
0,19,3.0,141.41802615942066,1,-12.340624188421575,-12.340624188421575,153.75865034784223,1.967054678508248,3.0,0.0,6.0,4.0,141.41802615942066,5.748128393557073,284.11139216292986,198.16233844645535,753,1831,837,314,344.50665443107295,1.0
0,20,7.0,317.6607200184407,1,-1.4008026588698599,-1.4008026588698599,-40.93847732268943,1.967010202880374,7.0,0.0,1.0,4.0,317.6607200184407,27.23581197208756,72.6939859013439,181.72229990982453,2076,2174,1843,1878,79.38965223407114,1.0
0,21,2.0,109.01061322694017,1,-10.500885330150158,-10.500885330150158,119.51149855709032,6.850298172023031,2.0,5.0,7.0,1.0,109.01061322694017,228.32785592002338,317.5331962474076,63.65920495508291,446,889,34,337,348.39449213625653,1.0
0,22,1.0,84.65139947022533,1,0.8599980173107945,0.8599980173107945,83.79140145291453,2.183695177730442,1.0,6.0,3.0,0.0,84.65139947022533,272.78289322899275,136.94344919883542,19.90984220067146,1881,1992,1601,959,175.9251451356259,1.0
0,23,7.0,353.2554327031721,1,1.8568175618870006,1.8568175618870006,-8.601384858714898,2.4836393836249044,7.0,6.0,5.0,4.0,353.2554327031721,297.6644732543595,230.05249581485162,180.0423534867898,1484,1967,1862,579,181.61922788184344,1.0
1,0,5.0,259.2170406138279,1,3.074978289589339,3.074978289589339,-103.8579376757614,2.7670446429820004,5.0,1.0,2.0,4.0,259.2170406138279,67.03014950658942,127.55887214379436,215.60833089987108,510,904,1747,956,2.566459134290371,0.0
1,1,2.0,101.63888757423094,1,-3.491313202817077,-3.491313202817077,105.130200777048,2.43366246248479,2.0,3.0,5.0,0.0,101.63888757423094,144.80868412055304,265.461796915479,41.86853067283967,243,151,2323,2033,203.31810350299978,0.0
1,2,0.0,16.811139762649688,1,-4.1586857898128535,-4.1586857898128535,20.96982555246254,2.8336725550307165,0.0,5.0,4.0,6.0,16.811139762649688,260.15790427951754,192.4080413272842,305.22031190265153,334,1434,1271,2246,119.41239082816023,0.0
1,3,4.0,216.23351237127386,1,0.33054029707410093,0.33054029707410093,-144.09702792580026,2.633697586827111,4.0,2.0,0.0,3.0,216.23351237127386,94.11694011798004,18.83185176018668,145.21736376589357,1251,925,871,1566,62.410380348204356,0.0
1,4,2.0,117.39696275122051,1,-6.226943395952334,-6.226943395952334,123.62390614717285,3.3003111298257863,2.0,4.0,6.0,1.0,117.39696275122051,209.72188605838448,273.29088033650345,54.81803803026662,2085,1697,2339,1490,258.8444485744266,1.0
1,5,3.0,167.23590614306286,1,1.6764477963609388,1.6764477963609388,165.55945834670194,1.7336676798176995,3.0,1.0,6.0,0.0,167.23590614306286,69.81388774156173,277.9294368407456,20.024846135992917,336,43,1063,267,137.14254212177391,1.0
1,6,3.0,171.67691939691005,1,-1.5175001612251613,-1.5175001612251613,173.19441955813522,1.7336628331149768,3.0,5.0,0.0,2.0,171.67691939691005,228.87939478266904,12.876608558980434,106.08741376711788,2186,4,443,2097,64.90651817060562,1.0
1,7,4.0,200.7627454255906,0,0.7282526426136192,-103.7333056903738,-55.5039488840356,1.4837032460645787,4.0,6.0,2.0,5.0,200.7627454255906,305.224303758578,103.69185537092321,257.5095223235254,2189,1470,1041,1766,275.3578542548316,1.0
1,8,2.0,113.95912935079534,1,-3.7664510739313393,-3.7664510739313393,117.72558042472667,1.600333453170606,2.0,0.0,3.0,5.0,113.95912935079534,12.144181652051502,167.61355859476907,269.0352461287944,185,1576,1188,993,136.65319503224868,1.0
1,9,5.0,256.1478596028045,1,2.6608524667950326,2.6608524667950326,-106.51299286399058,1.367028278232283,5.0,2.0,4.0,1.0,256.1478596028045,126.97089348639048,207.8968367170511,79.0861390268224,1786,430,1275,2230,272.2670896396542,1.0
1,10,0.0,12.183130928871861,1,7.8215582838512665,7.8215582838512665,4.361572645020596,1.9003227048933695,0.0,5.0,4.0,3.0,12.183130928871861,235.13909737153972,193.31809732063076,135.06887165888918,409,544,745,1140,230.65454114152814,1.0
1,11,5.0,227.19335437925932,1,-6.082538447815843,-6.082538447815843,-126.7241071729248,3.750342048941093,5.0,0.0,7.0,4.0,227.19335437925932,41.91533961947572,327.898060805657,183.62622122824146,2158,1852,1269,1520,244.4507960986775,1.0
1,12,7.0,327.61837439862643,1,7.267911618695492,7.267911618695492,-39.64953722006908,2.6337047143306336,7.0,5.0,0.0,1.0,327.61837439862643,232.01311976645175,17.402432281724245,78.07014429731838,2263,1990,427,1950,327.93676597591326,1.0
1,13,4.0,201.87961454311016,0,1.4419077423127935,-40.68892350870719,-117.43146194818263,2.5003368458628756,4.0,5.0,6.0,1.0,201.87961454311016,244.01044579413013,314.34925897917617,49.23057584543818,1500,162,1074,308,75.57649817720704,1.0
1,14,1.0,89.17522135289462,0,3.5196896237425355,122.72805374128335,-33.55283238838871,2.0836007810603405,1.0,7.0,4.0,0.0,89.17522135289462,329.9668572353538,216.96527984701578,29.9861940121165,968,2280,1435,1544,241.8515688464308,1.0
1,15,3.0,156.13778673063842,0,-4.1841171241114035,121.12625162155612,35.011535109082324,4.667011827950773,3.0,0.0,5.0,6.0,156.13778673063842,30.827417984970925,262.41943776854123,312.88141100017845,851,277,671,1944,274.5642882538173,1.0
1,16,7.0,356.60680847397833,0,3.5839596365339994,47.7161252592152,-51.10931678523688,1.9336509159265916,7.0,6.0,5.0,3.0,356.60680847397833,312.4746428512971,240.40041389408117,163.5948234219769,1291,900,1436,2347,167.34287083098437,1.0
1,17,1.0,51.22152150365643,1,4.575544006092387,4.575544006092387,46.64597749756405,1.7836625622694555,1.0,2.0,3.0,6.0,51.22152150365643,129.4221520144566,174.41905124548842,289.4242394182011,107,971,628,774,160.84142294047047,1.0
1,18,6.0,274.7687695031212,1,0.7170856652927469,0.7170856652927469,-85.94831616217155,1.8670067531675159,6.0,1.0,7.0,4.0,274.7687695031212,64.8229429009796,327.97200727692194,216.333241052618,1398,1834,1236,869,340.98653377524033,1.0
