block,trial,cueposbin,cueposdeg,cuevalid,wmresptestimgdiff,wmrespcuediff,wmrespdeg,wmrts,imageposbin0,imageposbin1,imageposbin2,imageposbin3,imageposdeg0,imageposdeg1,imageposdeg2,imageposdeg3,imagenum0,imagenum1,imagenum2,imagenum3,mouseposdeg,artifactfree
0,0,5.0,242.03494932442274,1,-8.70844556903855,-8.70844556903855,-109.25660510653874,3.1340510005793476,5.0,7.0,0.0,1.0,242.03494932442274,336.30847697231843,24.519254925416337,75.77665355294758,111,1800,1050,2156,148.99048517032807,1.0
0,1,7.0,354.0352756396248,1,14.224407089861572,14.224407089861572,-20.189131450236818,2.909069760015882,7.0,5.0,4.0,6.0,354.0352756396248,253.64413801379152,199.00143191284081,302.9520978638146,2104,1208,55,1397,287.26127028341904,1.0
0,2,6.0,274.7224493093464,1,-1.776896970308148,-1.776896970308148,-83.50065372034545,3.04240858623416,6.0,3.0,7.0,2.0,274.7224493093464,168.6768537950954,318.4755634665347,111.14633697850189,1067,323,215,2233,135.52130559801603,1.0
0,3,0.0,40.705173928323866,0,-1.3331960018777842,-106.07715120613847,146.78232513446233,3.300858030407653,0.0,3.0,7.0,6.0,40.705173928323866,145.44912913258455,338.9481499886608,288.966594368893,547,2230,1976,1725,292.4704173083325,1.0
0,4,4.0,186.0357270962536,1,-6.995430366418709,-6.995430366418709,-166.9688425373277,4.042586487275457,4.0,2.0,5.0,6.0,186.0357270962536,111.18563962852102,245.0205798677884,300.66424424424144,2004,555,516,961,162.58023567266378,1.0
0,5,0.0,34.58157715525914,1,9.31601833731628,9.31601833731628,25.265558817942857,3.534251082231549,0.0,2.0,3.0,6.0,34.58157715525914,94.83509340544498,163.5834855681022,282.224067652421,1150,1037,860,1942,292.1870833508895,1.0
0,6,5.0,252.30475124697801,1,-0.34122411676065406,-0.34122411676065406,-107.35402463626133,3.525833283916654,5.0,2.0,1.0,6.0,252.30475124697801,131.332423323646,89.2276622440558,299.5772286620385,1666,138,271,1116,182.07821095325352,1.0
0,7,0.0,34.447531812932496,1,0.8946994245437858,0.8946994245437858,33.55283238838871,2.45899238446691,0.0,1.0,3.0,7.0,34.447531812932496,88.02112278061891,165.8632749065651,334.23246256107154,1813,1544,810,1313,269.27661296521933,1.0
0,8,4.0,217.09823608449528,1,0.6204334606934279,0.6204334606934279,-143.5221973761982,2.6340011084603248,4.0,3.0,5.0,7.0,217.09823608449528,158.00558653909724,263.0044959955645,353.0667792461439,666,456,2145,2329,298.7593796430156,1.0
0,9,3.0,150.42125397459984,1,6.182961043306738,6.182961043306738,144.2382929312931,3.909198339134491,3.0,2.0,0.0,4.0,150.42125397459984,93.28864444764957,3.737619184480999,217.6593018459102,1191,1798,2333,60,157.17306242785207,1.0
0,10,7.0,341.1446329681939,0,-5.010186395605107,41.30909386793236,-60.16446089973845,2.484084699141931,7.0,6.0,1.0,0.0,341.1446329681939,294.82535270465644,82.05505539334779,38.789703723659436,172,635,234,563,243.51687367380714,1.0
0,11,2.0,98.80421725900179,1,-6.3449943936692,-6.3449943936692,105.14921165267099,4.100908663780956,2.0,7.0,3.0,6.0,98.80421725900179,358.0641557141373,175.14047450171824,308.1128638766747,619,1830,1816,2049,27.041443019780992,1.0
0,12,1.0,61.12468956447951,0,2.6204357162591636,-64.65983304568668,125.78452261016618,1.9173159294418838,1.0,2.0,4.0,0.0,61.12468956447951,128.40495832642534,181.2809315039086,11.594213469891423,1711,855,1754,1701,17.936835354128785,1.0
0,13,1.0,51.529202736564734,1,1.9212941870727174,1.9212941870727174,49.60790854949202,4.126002689042707,1.0,3.0,5.0,6.0,51.529202736564734,142.02196260163612,227.9301091591574,312.4160933927157,1757,1826,2250,1867,333.7666429326798,1.0
0,14,4.0,214.1599903464815,1,-8.454065623129708,-8.454065623129708,-137.38594403038883,3.25081138840369,4.0,3.0,2.0,6.0,214.1599903464815,164.11070191886736,120.9466188617891,312.2585157125124,2209,1298,221,207,348.10559261133807,1.0
