block,trial,cueposbin,cueposdeg,cuevalid,wmresptestcolordiff,wmrespcueposdiff,wmrespdeg,wmrts,imageposbin0,imageposbin1,imageposdeg0,imageposdeg1,imagenum0,imagenum1,mouseposdeg
0,0,6.0,298.63418095151218,1,5.2812499999999831,-168.09909865705575,130.53508229445643,2.8173580667935312,6.0,4.0,298.63418095151218,187.51902614324166,589,396,192.31992305962092
0,1,7.0,338.03715438283086,1,-4.7187500000000044,-169.30715949083131,168.72999489199958,4.1175925880670547,7.0,4.0,338.03715438283086,222.17912657190342,291,41,124.79673206096126
0,2,4.0,188.21151917634666,1,-10.296875000000005,-115.02837346653122,73.183145709815449,1.958976989146322,4.0,0.0,188.21151917634666,41.288985583965236,738,107,100.82514828515073
0,3,3.0,165.50942288836703,1,-10.234374999999996,84.419051247094288,-110.07152586453873,3.5423598345369101,3.0,0.0,165.50942288836703,21.718408733617096,91,377,159.5198886158023
0,4,1.0,71.353511056125456,0,-135.203125,64.821622181113909,136.17513323723938,4.2675483413040638,1.0,5.0,71.353511056125456,254.98755929266619,14,301,150.94892060848284
0,5,0.0,27.895397115862831,0,-7.640624999999984,-124.55669875563298,-96.661301639770159,4.1842068349942565,0.0,7.0,27.895397115862831,333.14175635392314,112,176,169.67667452595128
0,6,5.0,237.95284144304779,1,-5.7187499999999938,19.068098587763153,-102.97905996918909,2.409078027587384,5.0,0.0,237.95284144304779,41.671006805195795,371,670,81.033971142640709
0,7,2.0,119.85317278273462,1,-22.671875000000004,18.750115853805635,138.60328863654024,1.7089476240798831,2.0,1.0,119.85317278273462,74.727678090172731,120,195,313.63251567857083
1,0,2.0,101.49232275765048,0,10.203124999999991,59.277004866688237,160.76932762433873,4.3341688602231443,2.0,0.0,101.49232275765048,33.67984706531999,503,237,320.3166644935859
1,1,4.0,193.55293837929781,1,21.859375000000007,-134.37487396459093,59.178064414706903,2.4339596549980342,4.0,3.0,193.55293837929781,142.50039775476338,331,500,344.69157462139782
