block,trial,conditionNum,ltmtrialsoldnew,ltmTrialsOldInvalidCued,ltmTrialsOldInvalidTested,ltmTrialsOldValidCued,ltmWMblockNum,ltmWMtrialNum,ltmWMimageNum,imageNum,ltmrating,ltmratingrts,ltmresptestimgdiff,ltmrespcuediff,ltmrespwmrespdiff,ltmrespdeg,mousposdeg,ltmresprts
0,0,1.0,1,0,0.0,1.0,0,6,0,589,0.0,0.0,19.953124999999996,103.2853368874832,-78.046875000000028,-107.71304707768857,95.158894466221355,3.2506950683891773
0,1,1.0,1,0,0.0,1.0,0,2,0,594,0.0,0.0,-84.71875,-136.36902578776395,63.28125,-40.017580409624173,89.500214441360868,2.750717306509614
0,2,3.0,1,0,1.0,0.0,0,4,0,572,0.0,0.0,41.359374999999993,-132.48537935730084,-166.64062500000003,-83.338698360229841,39.407682028943213,1.5504802758805454
0,3,3.0,1,0,1.0,0.0,0,1,0,538,0.0,0.0,-14.62499999999998,-109.27543606801734,-158.90624999999997,-77.288867434470518,237.41633914305569,1.77549629798159
0,4,1.0,1,0,0.0,1.0,0,5,0,629,0.0,0.0,123.4375,107.37127040997731,-171.56250000000003,-63.43494882292201,81.056151999877528,2.4589365054853261
0,5,1.0,1,0,0.0,1.0,0,7,0,658,0.0,0.0,2.2031249999999933,-159.07851088891377,113.20312500000001,174.82428908555977,64.925658857122016,4.1425366522744298
0,6,1.0,1,0,0.0,1.0,0,0,0,133,0.0,0.0,112.078125,153.71229217441604,-16.874999999999996,34.242032911609996,185.36864532068805,2.0839228206314147
0,7,1.0,1,0,0.0,1.0,0,3,0,412,0.0,0.0,4.5937499999999876,-23.838328075736417,94.21875,-88.397738653729036,43.265718341852306,1.467159581836313
1,0,1.0,1,0,0.0,1.0,1,1,0,679,0.0,0.0,171.78125000000003,136.50830132609789,130.78125,163.53124374634453,257.2567713514099,4.1591478767804801
1,1,3.0,1,0,1.0,0.0,1,0,0,158,0.0,0.0,7.5156250000000195,-15.884401407707305,97.734375,-37.783893458346817,59.810661147341818,3.7424414865672588
1,2,1.0,1,0,0.0,1.0,1,3,0,25,0.0,0.0,50.109374999999986,-36.09228782077718,-177.89062500000003,42.933523014355764,204.05247903210389,2.7923079468309879
1,3,1.0,1,0,0.0,1.0,1,4,0,179,0.0,0.0,0.29687499999999106,55.313507526217457,-135.70312500000003,-111.99112991717715,165.14086537837989,1.0170950354076922
1,4,1.0,1,0,0.0,1.0,1,6,0,495,0.0,0.0,-11.37500000000003,40.399944652444155,-84.375000000000028,-162.74488899790805,313.99515877345942,1.450494188349694
1,5,1.0,1,0,0.0,1.0,1,2,0,579,0.0,0.0,29.640624999999993,22.968349881548558,-15.468749999999998,-87.426640536823186,98.206609777478391,3.9674646365456283
