block,trial,conditionNum,ltmtrialsoldnew,ltmTrialsOldInvalidCued,ltmTrialsOldInvalidTested,ltmTrialsOldValidCued,ltmWMblockNum,ltmWMtrialNum,ltmWMimageNum,imageNum,ltmrating,ltmratingrts,ltmresptestimgdiff,ltmrespcuediff,ltmrespwmrespdiff,ltmrespdeg,mousposdeg,ltmresprts
0,0,3.0,1,0,1.0,0.0,0,5,0,399,0.0,0.0,101.96875,108.56957417592974,172.96875,-179.80378234410608,226.26810693631199,2.8840403025969863
0,1,3.0,1,0,1.0,0.0,0,1,0,407,0.0,0.0,-106.48437500000001,-72.91308670045882,0.0,-120.67728002179645,327.59025892522533,2.3672679541632533
0,2,1.0,1,0,0.0,1.0,0,3,0,408,0.0,0.0,23.953125000000004,131.78583948686034,-78.046875000000028,-16.268765260991884,112.58732439042925,0.70874481741338968
0,3,1.0,1,0,0.0,1.0,0,7,0,751,0.0,0.0,-14.656249999999998,37.377581422301311,77.34375,45.0,231.86784538963727,0.95875472435727715
0,4,1.0,1,0,0.0,1.0,0,2,0,16,0.0,0.0,56.609374999999986,50.788620456166498,57.656250000000007,46.587134413722751,280.9405742013829,1.1254358836449683
0,5,1.0,1,0,0.0,1.0,0,0,0,493,0.0,0.0,50.0625,45.187134825242303,156.09375,-178.40331855092006,169.09458842181544,1.0088538113050163
0,6,1.0,1,0,0.0,1.0,0,6,0,316,0.0,0.0,-106.15625,40.188128547459193,0.0,-81.991933200414792,87.69366806337753,1.0754197612404823
0,7,1.0,1,0,0.0,1.0,0,4,0,136,0.0,0.0,45.0625,-121.5090910217401,-10.546874999999989,1.2364076028561433,290.09793212933101,1.2004727544263005
1,0,3.0,1,0,1.0,0.0,1,0,0,543,0.0,0.0,69.609374999999986,-46.20223712649004,0.0,88.062160234558874,253.61502975307585,2.7005883627571166
1,1,1.0,1,0,0.0,1.0,1,3,0,666,0.0,0.0,-0.96875000000000966,155.43883755442269,-172.96875000000003,55.777239129208134,1.8503118480041492,2.4672916461713612
1,2,1.0,1,0,0.0,1.0,1,7,0,437,0.0,0.0,-37.578124999999993,-33.989395290398825,117.42187500000001,-174.3722340971967,62.855714694625505,2.0505475508980453
1,3,3.0,1,0,1.0,0.0,1,5,0,193,0.0,0.0,137.84375000000003,-67.947334872434368,-125.15625000000001,-136.16320624524116,330.21335549872748,1.2422138205729425
1,4,1.0,1,0,0.0,1.0,1,2,0,67,0.0,0.0,15.031250000000004,-43.485351718381317,-110.390625,-36.705844323190789,145.96854101706145,0.85041035991162062
1,5,1.0,1,0,0.0,1.0,1,4,0,4,0.0,0.0,28.187500000000007,132.35214713315403,125.15625000000001,-57.002294898783703,262.51580176905679,1.1087503484450281
1,6,1.0,1,0,0.0,1.0,1,1,0,420,0.0,0.0,-96.875,19.300968018901024,-113.90625,70.177535429634787,31.634660343462919,0.80040906276553869
1,7,1.0,1,0,0.0,1.0,1,6,0,275,0.0,0.0,-5.6093749999999911,133.39038941549575,-7.7343749999999991,91.709814044141538,311.44086845984015,0.85871592210605741
2,0,3.0,1,0,1.0,0.0,2,5,0,403,0.0,0.0,-167.32812500000003,-74.936581595520039,83.671875,-160.68986057472176,334.45731132795044,4.0925198337063193
2,1,1.0,1,0,0.0,1.0,2,3,0,55,0.0,0.0,-164.234375,68.953981353511523,-165.23437500000003,33.10364194973257,87.625483460939634,0.80038996133953333
2,2,1.0,1,0,0.0,1.0,2,6,0,567,0.0,0.0,45.812499999999979,79.92833728279237,2.8125,-20.73095547282659,209.06965757876458,1.0837526931427419
2,3,1.0,1,0,0.0,1.0,2,1,0,200,0.0,0.0,-33.828125000000014,41.447866674894023,-133.59375,75.068582821862435,158.92758581604056,1.0837837690487504
2,4,1.0,1,0,0.0,1.0,2,4,0,142,0.0,0.0,159.703125,-130.46939708574016,0.0,25.27772223555295,80.206255672036363,1.0253933751955628
2,5,1.0,1,0,0.0,1.0,2,2,0,445,0.0,0.0,104.34374999999999,163.23136325375594,-105.46875000000003,-108.62786317645507,33.8506295990667,0.87540117278695107
2,6,3.0,1,0,1.0,0.0,2,7,0,511,0.0,0.0,167.28124999999997,-142.57475822574449,63.28125,72.99205304459268,307.13337551292881,1.17547452962026
2,7,1.0,1,0,0.0,1.0,2,0,0,379,0.0,0.0,14.296875000000012,58.580813702242942,-129.37499999999997,177.69262700303781,114.57705546722248,1.4838300696574152
3,0,1.0,1,0,0.0,1.0,3,1,0,559,0.0,0.0,115.76562499999997,10.479525506141719,104.76562500000001,-92.756556871536546,127.36114211921091,2.5923141334205866
3,1,3.0,1,0,1.0,0.0,3,0,0,603,0.0,0.0,163.62500000000003,84.839753721828103,-54.140625,-96.793830560486413,357.28627165046981,1.2921221745200455
3,2,1.0,1,0,0.0,1.0,3,7,0,282,0.0,0.0,8.3749999999999876,138.01639734529354,174.375,-27.474431626277134,228.72887989574824,0.81706580333411694
3,3,1.0,1,0,0.0,1.0,3,2,0,519,0.0,0.0,92.484374999999972,0.57048306072213639,137.109375,92.324382970948164,163.17254958995497,1.2921389960683882
3,4,3.0,1,0,1.0,0.0,3,6,0,388,0.0,0.0,-9.265625,164.82396740430585,52.734374999999993,171.52885536698517,33.40607387352928,0.95873305713757873
3,5,1.0,1,0,0.0,1.0,3,5,0,109,0.0,0.0,22.421874999999989,0.3518659717020482,0.0,69.909564637958695,98.072686525033504,1.4004622627981007
3,6,1.0,1,0,0.0,1.0,3,4,0,482,0.0,0.0,-68.09375,1.3529540840086345,61.171875000000007,-3.6431282122060358,18.568627427697336,1.0254384214058518
3,7,1.0,1,0,0.0,1.0,3,3,0,509,0.0,0.0,48.953125,90.136836923226198,-119.53124999999997,8.7147328748611574,78.808694240154423,1.3171434933319688
4,0,3.0,1,0,1.0,0.0,4,2,0,460,0.0,0.0,19.765625000000021,179.04105296085481,-120.234375,-103.63311358899186,245.25472882330089,2.7506917263381183
