block,trial,cueposbin,cueposdeg,cuevalid,wmresptestcolordiff,wmrespcueposdiff,wmrespdeg,wmrts,imageposbin0,imageposbin1,imageposdeg0,imageposdeg1,imagenum0,imagenum1,mouseposdeg
0,0,6.0,308.59084512470645,1,-102.62500000000003,85.174710868151493,33.765555992857912,2.2425478376826504,6.0,5.0,308.59084512470645,231.47564706671386,183,326,215.85386078772112
0,1,7.0,358.83089816062193,0,10.921875000000018,-120.52566165453088,-121.69476349390895,1.7089845615410013,7.0,5.0,358.83089816062193,243.18512639408124,477,588,7.4343950368433376
0,2,1.0,80.249749430302742,0,-20.046875000000004,26.890599874454981,107.14034930475773,2.042054842444486,1.0,6.0,80.249749430302742,300.98983131727499,408,662,251.98766177271492
0,3,5.0,242.16505657987167,1,-15.937500000000002,85.443550213494532,-32.391393206633765,1.3005235294695012,5.0,7.0,242.16505657987167,341.99980339924514,635,554,89.155075258982507
0,4,4.0,207.36173654335022,1,-10.187499999999991,-176.0046513193403,31.357085224009932,1.725433701518341,4.0,5.0,207.36173654335022,269.57787916397206,619,590,216.09589863018192
0,5,2.0,125.75281066391226,1,-27.218749999999996,88.514524779431952,-145.73266455665578,2.100698809052119,2.0,3.0,125.75281066391226,174.18568068943421,503,105,40.719364842986593
0,6,3.0,143.54286029068246,1,22.312499999999982,11.924697308886127,155.46755759956858,1.4255539282748941,3.0,0.0,143.54286029068246,44.356470624567656,114,601,287.11016026554137
0,7,0.0,38.878086743178173,1,9.0156249999999769,79.059056083360488,117.93714282653863,2.5425718716142001,0.0,5.0,38.878086743178173,246.21920072854772,368,63,186.22905141902444
1,0,6.0,302.90323345437241,1,6.359375000000008,-6.5701477285926435,-63.666914274220218,1.2921532732725609,6.0,4.0,302.90323345437241,213.47662981915465,241,182,211.54453663574495
1,1,7.0,329.36314247047051,0,5.1250000000000115,-53.778640193483589,-84.415497723013061,1.5505159030435607,7.0,5.0,329.36314247047051,250.87632560239737,453,699,100.16549489210706
1,2,5.0,262.54173977319584,1,-1.0468750000000018,-21.420513448098067,-118.87877367490222,1.5254869582422543,5.0,0.0,262.54173977319584,12.623992082374578,101,715,7.9282964553068425
1,3,0.0,25.496423937819088,1,-12.062500000000025,-111.25081315371619,-85.754389215897106,1.5672381689801114,0.0,6.0,25.496423937819088,293.55542168219824,530,680,193.90682852530381
1,4,4.0,207.94189662961432,1,10.875000000000011,-170.81959630148117,37.122300328133171,1.3420121629460482,4.0,6.0,207.94189662961432,308.48964099925342,482,397,81.06821145359055
1,5,3.0,145.87652688186526,1,-27.656249999999993,-116.35249826676365,29.524028615101617,1.1838488467328716,3.0,6.0,145.87652688186526,296.65297794572535,377,137,299.89005781539151
1,6,1.0,50.726411615208704,0,7.9531250000000062,14.086126107563091,64.812537722771793,1.2838246417231858,1.0,2.0,50.726411615208704,121.20395338849229,533,634,84.155607407579666
1,7,2.0,123.40849020941496,1,-23.031250000000014,113.68626686759715,-122.90524292298792,1.742085262623732,2.0,1.0,123.40849020941496,66.200335886410727,478,682,240.84952813117982
2,0,7.0,324.1697118278986,1,8.7031250000000462,13.888562771538218,-21.941725400563229,1.709123405336868,7.0,4.0,324.1697118278986,199.38567488231908,701,94,170.31802351940286
