block,trial,conditionNum,ltmtrialsoldnew,ltmTrialsOldInvalidCued,ltmTrialsOldInvalidTested,ltmTrialsOldValidCued,ltmWMblockNum,ltmWMtrialNum,ltmWMimageNum,imageNum,ltmrating,ltmratingrts,ltmresptestimgdiff,ltmrespcuediff,ltmrespwmrespdiff,ltmrespdeg,mousposdeg,ltmresprts
0,0,3.0,1,0,1.0,0.0,0,7,0,255,0.0,0.0,144.46875,-135.06191883344033,-119.53125,-9.4623222080256149,213.27884553022915,2.9923135191202164
0,1,1.0,1,0,0.0,1.0,0,1,0,187,0.0,0.0,0.81250000000000033,109.93143231311488,0.0,-25.648396920692708,161.05198604558791,1.8421889464370906
0,2,1.0,1,0,0.0,1.0,0,6,0,290,0.0,0.0,93.984375,116.50203981180989,-116.01562500000001,-65.744011611947684,8.8883724389053498,1.7004673015326262
0,3,3.0,1,0,1.0,0.0,0,2,0,14,0.0,0.0,106.6875,18.790251021598273,-44.296875,-23.834262901043381,64.364979858619563,4.2425254173576832
0,4,1.0,1,0,0.0,1.0,0,4,0,8,0.0,0.0,-4.5156250000000018,94.289601699338576,0.0,21.603565730160195,171.10632175442734,1.525441849604249
0,5,1.0,1,0,0.0,1.0,0,3,0,550,0.0,0.0,7.2500000000000009,174.49559816216183,-143.43750000000003,-138.45460794698269,353.62604835893421,1.183790166862309
0,6,1.0,1,0,0.0,1.0,0,5,0,625,0.0,0.0,16.437500000000007,-171.5692900450309,177.1875,82.621464157326187,180.56841078656612,1.2504174523055553
0,7,1.0,1,0,0.0,1.0,0,0,0,675,0.0,0.0,41.515625,-3.1507914450801677,-146.95312499999997,41.733560962366411,202.41816869339772,2.3505740552209318
1,0,3.0,1,0,1.0,0.0,1,5,0,125,0.0,0.0,-179.98437500000006,33.021792648702267,-63.984375000000021,-97.326406660169567,229.03001949644047,2.1671984186396003
1,1,1.0,1,0,0.0,1.0,1,3,0,530,0.0,0.0,-16.109375000000004,-72.914709231740915,87.890625,62.406913033098007,260.41875307535844,2.0088530946522951
1,2,1.0,1,0,0.0,1.0,1,1,0,317,0.0,0.0,129.78125,-178.76163598374472,-137.10937500000003,22.960630637902284,347.51892340384001,1.1755092605017126
1,3,3.0,1,0,1.0,0.0,1,4,0,239,0.0,0.0,118.35937499999999,-15.838465094104041,-121.64062500000004,-70.193350510329026,38.977404235300504,1.0920878085307777
1,4,1.0,1,0,0.0,1.0,1,2,0,144,0.0,0.0,2.5781249999999827,148.16111819686034,-158.20312500000003,-132.53562650046828,209.88281297472662,1.0254237456247211
1,5,1.0,1,0,0.0,1.0,1,6,0,750,0.0,0.0,-1.484375,73.62939092615008,48.515625,65.438118171583909,174.18980035956795,2.1756358430720866
1,6,1.0,1,0,0.0,1.0,1,7,0,153,0.0,0.0,164.15625,82.793534900524023,-144.84375000000003,123.05857648961725,211.42928643936389,1.1587507305666804
1,7,1.0,1,0,0.0,1.0,1,0,0,376,0.0,0.0,-11.671875,-100.49054849569937,70.312500000000028,14.339928501342238,72.338056601517479,1.5004397612065077
2,0,1.0,1,0,0.0,1.0,2,4,0,520,0.0,0.0,-0.093750000000000527,-108.02885836173614,113.90625000000001,-104.0362434679265,313.08836023686399,2.150544804520905
2,1,1.0,1,0,0.0,1.0,2,5,0,219,0.0,0.0,-11.0,116.6393971561844,0.0,84.994167447048923,254.87425647705123,0.71703025512397289
2,2,1.0,1,0,0.0,1.0,2,2,0,253,0.0,0.0,40.281249999999993,-99.126510870978947,0.0,-168.93881753840824,206.26495774760275,1.0003917221911252
2,3,1.0,1,0,0.0,1.0,2,1,0,94,0.0,0.0,-123.8125,-58.915626640998603,-2.8125000000000044,-177.35119424054139,213.69185739873032,1.2670890269801021
2,4,3.0,1,0,1.0,0.0,2,0,0,729,0.0,0.0,-111.78125000000001,-47.257484635935867,-19.687500000000014,175.84035770628736,309.41824891697257,1.3504175380803645
2,5,1.0,1,0,0.0,1.0,2,3,0,122,0.0,0.0,-126.64062500000001,147.82348652947587,-118.82812500000003,-140.42681249857282,26.973240876726493,1.0420901891775429
2,6,3.0,1,0,1.0,0.0,2,6,0,715,0.0,0.0,-35.156249999999993,168.84485559916843,0.0,-25.551887379756494,249.68976820131934,1.9005167940631509
2,7,1.0,1,0,0.0,1.0,2,7,0,435,0.0,0.0,-178.15625000000003,125.48054588201023,0.0,-120.5201851656394,318.34534262093729,1.2254307586699724
3,0,3.0,1,0,1.0,0.0,3,4,0,251,0.0,0.0,-121.32812500000006,80.237588114819332,-51.328125000000014,-163.52600606181093,274.35712213965797,2.4589177686721087
3,1,1.0,1,0,0.0,1.0,3,2,0,224,0.0,0.0,34.703125000000007,65.045892605466292,0.703125,-82.667672825306127,11.579374224950264,1.2254407373256981
3,2,1.0,1,0,0.0,1.0,3,5,0,573,0.0,0.0,-9.6406250000000018,126.2495010089673,103.359375,42.757186216983996,309.4813159029967,1.4754804368130863
3,3,1.0,1,0,0.0,1.0,3,0,0,591,0.0,0.0,-46.734375000000028,-42.450198819371472,43.593750000000007,0.6160599083992303,128.05982662893911,1.0837419000454247
3,4,1.0,1,0,0.0,1.0,3,7,0,696,0.0,0.0,-109.93750000000001,160.77701390451401,-120.9375,-147.08490058656864,236.01885321534374,2.3672162657603621
3,5,1.0,1,0,0.0,1.0,3,3,0,734,0.0,0.0,-26.140625000000004,-37.546605491193084,43.593750000000014,-153.7073514274347,26.009248678266268,1.333784450776875
3,6,1.0,1,0,0.0,1.0,3,6,0,135,0.0,0.0,95.062500000000014,40.236977033432858,0.0,-164.74488129694225,307.92384942587898,2.4755833568051457
3,7,3.0,1,0,1.0,0.0,3,1,0,631,0.0,0.0,13.484374999999998,-83.387176395942646,-49.21875000000005,-85.726053902403052,229.84220073919369,0.94208440138027072
4,0,1.0,1,0,0.0,1.0,4,4,0,186,0.0,0.0,-118.109375,-10.834764140171924,-2.1093749999999813,139.19219362787533,125.56790063427863,2.2922276770696044
4,1,1.0,1,0,0.0,1.0,4,2,0,647,0.0,0.0,42.765625000000021,-96.330594043770205,-120.234375,-50.063616853030084,292.4537613067526,1.1004231683909893
4,2,3.0,1,0,1.0,0.0,4,0,0,754,0.0,0.0,14.500000000000005,113.56347949181388,114.60937499999997,-35.727398222799707,348.61442400424392,0.8087083799764514
4,3,3.0,1,0,1.0,0.0,4,1,0,414,0.0,0.0,-17.71875,-2.8547057304967876,138.515625,-101.39063070166334,262.15371255132504,2.0338620254769921
4,4,1.0,1,0,0.0,1.0,4,6,0,402,0.0,0.0,74.109375000000028,-133.51933125404645,2.109375,-107.01254680924403,96.712338056601325,2.3506755498237908
4,5,1.0,1,0,0.0,1.0,4,3,0,303,0.0,0.0,140.453125,-52.818270921832926,-73.828124999999986,-82.568592028827496,356.54135923017407,0.62549638794735074
4,6,1.0,1,0,0.0,1.0,4,5,0,275,0.0,0.0,-69.875000000000014,79.53980284906747,-6.3281250000000044,-10.268305798010239,129.07554396337551,0.90872927755117416
4,7,1.0,1,0,0.0,1.0,4,7,0,738,0.0,0.0,-121.93749999999999,175.60729037743806,0.0,-63.713984504103564,93.820012650694025,1.4004305521957576
5,0,3.0,1,0,1.0,0.0,5,4,0,567,0.0,0.0,47.8125,143.1783369045537,2.8125,86.383886103845285,78.519425299700742,8.109597566537559
5,1,1.0,1,0,0.0,1.0,5,5,0,13,0.0,0.0,-128.90624999999997,117.40636944122198,-113.90624999999999,-83.190949820386592,57.85310430315954,1.3420456857420504
5,2,1.0,1,0,0.0,1.0,5,0,0,454,0.0,0.0,51.390625,-114.58529107082816,107.578125,-19.071542398885498,177.21907107077351,0.65870497282594442
5,3,1.0,1,0,0.0,1.0,5,1,0,719,0.0,0.0,-19.671875,0.2379273059302465,120.234375,37.530814597260225,306.4389872748585,1.1421059551648796
5,4,3.0,1,0,1.0,0.0,5,3,0,324,0.0,0.0,-60.203124999999986,76.884387077857625,-119.53125,-95.689659349789153,225.18176739125988,1.1170938881114125
5,5,1.0,1,0,0.0,1.0,5,2,0,619,0.0,0.0,-3.7031250000000036,0.67311888566284028,-111.09375,-132.23213017911235,26.386688609534712,0.87538099568337202
5,6,1.0,1,0,0.0,1.0,5,7,0,338,0.0,0.0,16.296875000000039,120.8477499296887,-0.70312499999998623,109.21267181718564,70.953683124478587,0.67534205177798867
5,7,1.0,1,0,0.0,1.0,5,6,0,327,0.0,0.0,173.57812500000003,-147.26044224977986,-116.71875000000001,-100.2861711827543,137.60662856154403,0.76701533002778888
6,0,3.0,1,0,1.0,0.0,6,3,0,606,0.0,0.0,-57.015624999999993,61.804317442862754,-71.015625,-24.991895321085401,121.75203447322706,1.9922171565704048
6,1,1.0,1,0,0.0,1.0,6,5,0,108,0.0,0.0,173.57812500000003,140.29689138526098,-117.42187499999999,40.438192012542999,115.07962432065632,1.2088042292743921
6,2,1.0,1,0,0.0,1.0,6,7,0,395,0.0,0.0,-17.328125000000032,-125.80691534901521,-51.328125000000014,-158.43798652796852,144.65946551557363,0.60867798840627074
6,3,1.0,1,0,0.0,1.0,6,4,0,38,0.0,0.0,38.843750000000021,-129.6939231039463,-125.15625000000001,-16.176193361608377,45.15548238912622,0.73370924266055226
6,4,1.0,1,0,0.0,1.0,6,2,0,583,0.0,0.0,8.9374999999999911,154.68222282526619,-7.7343749999999991,-67.609072750105696,218.10161796267371,0.80871208617463708
