block,trial,cueposbin,cueposdeg,cuevalid,wmresptestcolordiff,wmrespcueposdiff,wmrespdeg,wmrts,imageposbin0,imageposbin1,imageposdeg0,imageposdeg1,imagenum0,imagenum1,mouseposdeg
0,0,4.0,189.14081346085626,1,9.1093749999999893,-65.915139246664822,123.22567421419144,1.7422525871079415,4.0,5.0,189.14081346085626,269.1757445212441,651,452,322.90943874966763
0,1,6.0,270.39222520068188,1,-9.125000000000016,113.08129496636869,23.47352016705057,1.3338214221876115,6.0,4.0,270.39222520068188,206.23804637900813,145,34,35.92014548995315
0,2,3.0,169.00381105227513,1,-5.6249999999999805,-96.518952532662141,72.484858519612999,1.2588096903637052,3.0,6.0,169.00381105227513,281.94304545144104,303,408,69.371571364458248
0,3,2.0,119.44102866860834,1,-6.0781249999999929,7.5982573366954647,127.03928600530381,1.3754768988583237,2.0,3.0,119.44102866860834,179.81196999958277,65,175,309.15515753897336
0,4,5.0,260.38900777621274,0,0.40625000000000649,-77.010885036918552,-176.62187726070582,1.5755112245678902,5.0,0.0,260.38900777621274,44.640111973517662,154,289,220.20253279707745
0,5,0.0,14.82734814054492,1,-98.328125000000028,-49.198800146858659,-34.371452006313739,1.6505201053805649,0.0,2.0,14.82734814054492,124.44189348853043,192,447,323.27974733448298
0,6,1.0,49.185247846311249,1,27.406249999999982,29.544747045688343,78.729994891999596,1.0504510544706136,1.0,4.0,49.185247846311249,197.44773316450534,690,63,57.99027798155646
0,7,7.0,339.96724343982351,0,-6.6093749999999929,33.915117373450045,13.882360813273545,2.5590134218800813,7.0,2.0,339.96724343982351,104.5880096591813,689,245,209.18788258803664
1,0,5.0,227.55095346472089,0,-13.749999999999996,4.9563932022287984,-127.49265333305034,1.5505400053225458,5.0,0.0,227.55095346472089,3.6145289653123021,439,557,19.303386193996662
1,1,7.0,356.84792097457955,1,22.046874999999986,99.850085195411779,96.698006169991345,1.2254745324607939,7.0,3.0,356.84792097457955,171.98047258725398,750,261,73.869818710174329
1,2,0.0,9.9520274924887211,1,-10.921875000000018,-107.30440685238112,-97.352379359892382,1.1837423644028604,0.0,6.0,9.9520274924887211,295.97501842516607,578,13,280.76649872349759
1,3,1.0,52.233249050891956,1,-1.0156250000000036,60.993331582421689,113.22658063331365,1.5254365000873804,1.0,2.0,52.233249050891956,109.32219783407203,533,697,116.81652498499069
1,4,4.0,216.53522725811422,1,-4.234375,83.0035550014439,-60.461217740441903,1.3088085784111172,4.0,3.0,216.53522725811422,155.60670127007009,87,686,21.162280326153159
1,5,6.0,292.04196997585069,1,-1.5468749999999896,-158.4669442483661,133.57502572748459,1.2671414129436016,6.0,4.0,292.04196997585069,201.06630036586287,745,623,33.320689822843306
1,6,3.0,142.62725462230219,0,10.218749999999968,-46.771241036873221,95.856013585428968,1.6005443101748824,3.0,7.0,142.62725462230219,327.44022850305032,540,318,107.7390289898041
1,7,2.0,113.90706565257375,1,-6.0468749999999956,111.83314871207669,-134.2597856353496,1.9839247134514153,2.0,7.0,113.90706565257375,342.93265489545075,238,504,299.69024123938976
2,0,0.0,3.6656063994826322,0,-4.1093749999999591,88.118114754373252,91.783721153855879,1.2921189044136554,0.0,2.0,3.6656063994826322,117.05315254902379,378,382,304.57890891655092
