block,trial,conditionNum,ltmtrialsoldnew,ltmTrialsOldInvalidCued,ltmTrialsOldInvalidTested,ltmTrialsOldValidCued,ltmWMblockNum,ltmWMtrialNum,ltmWMimageNum,imageNum,ltmrating,ltmratingrts,ltmresptestimgdiff,ltmrespcuediff,ltmrespwmrespdiff,ltmrespdeg,mousposdeg,ltmresprts
0,0,1.0,1,0,0.0,1.0,0,1,0,167,0.0,0.0,5.7656250000000009,-159.65396728663961,104.76562500000001,70.455137673371226,206.6208347644758,4.1511256851908911
0,1,3.0,1,0,1.0,0.0,0,2,0,650,0.0,0.0,-2.5312500000000013,83.63850117752861,60.46875,169.64911434506951,221.57162595256355,6.5931265764002092
0,2,1.0,1,0,0.0,1.0,0,0,0,685,0.0,0.0,-96.406250000000014,141.74380393220713,-106.171875,-54.706652409339718,132.92055552260237,4.625994662442281
0,3,1.0,1,0,0.0,1.0,0,6,0,179,0.0,0.0,0.64062500000000155,-39.559040329180313,31.640625,142.4773303066608,339.4185119717049,1.7087310771448756
0,4,3.0,1,0,1.0,0.0,0,5,0,613,0.0,0.0,-24.249999999999993,-89.636402127608818,123.75000000000001,-131.5262439947401,354.71945224404107,5.817796343194459
0,5,1.0,1,0,0.0,1.0,0,7,0,438,0.0,0.0,5.703124999999992,58.919178039484649,-179.29687500000003,0.0,114.56723530097629,4.2760471057536051
0,6,1.0,1,0,0.0,1.0,0,4,0,535,0.0,0.0,-129.18750000000003,69.764182479750986,-120.93750000000004,97.157813013615808,47.203453770841747,2.2761175243340404
0,7,1.0,1,0,0.0,1.0,0,3,0,28,0.0,0.0,-2.624999999999964,-73.586581786406867,-37.265625000000014,37.945748266635292,39.747829415402599,1.0674940707267524
1,0,1.0,1,0,0.0,1.0,1,6,0,516,0.0,0.0,12.828125000000007,169.79766151323778,118.828125,-90.0,146.19125815817333,6.6348249243001192
1,1,1.0,1,0,0.0,1.0,1,3,0,144,0.0,0.0,1.2968750000000051,-119.89942423195488,-0.70312499999998623,-168.73993329190378,43.788126474828587,0.97538314692337735
1,2,1.0,1,0,0.0,1.0,1,1,0,386,0.0,0.0,-130.28125,-159.4232105164979,117.42187499999999,5.3392368037375837,311.32376620115144,1.2669656747912086
1,3,1.0,1,0,0.0,1.0,1,4,0,601,0.0,0.0,1.4999999999999829,127.64570677284335,-157.50000000000003,175.71712153475389,355.86118291470871,1.1503148736865114
1,4,1.0,1,0,0.0,1.0,1,5,0,743,0.0,0.0,-4.9374999999999867,-173.71556628845028,-120.9375,151.02029230207123,25.955583428248843,0.89244060819964943
1,5,3.0,1,0,1.0,0.0,1,7,0,122,0.0,0.0,3.0000000000000311,105.27805795706902,0.0,-33.26142879327768,184.70005740912848,1.3673765828852993
1,6,1.0,1,0,0.0,1.0,1,2,0,741,0.0,0.0,166.28125,-119.98470444975715,-53.4375,131.87119015116787,276.59278685901859,1.5005905752568651
1,7,3.0,1,0,1.0,0.0,1,0,0,192,0.0,0.0,-87.078125000000014,-134.25218766141691,66.09375,-111.84911620264845,264.55774823278693,5.9090000932264957
2,0,1.0,1,0,0.0,1.0,2,4,0,618,0.0,0.0,-100.56249999999999,103.95757789291604,-126.56249999999997,-77.124998440387529,131.5897772758689,3.5927821810764726
2,1,3.0,1,0,1.0,0.0,2,1,0,575,0.0,0.0,-0.9374999999999799,-4.0691116189976926,0.0,60.287434424116746,233.52557010069683,1.4088727981006741
2,2,1.0,1,0,0.0,1.0,2,5,0,599,0.0,0.0,-162.140625,-31.301793825161393,125.859375,-165.15154798182209,253.03828453393064,1.3840444041898081
2,3,1.0,1,0,0.0,1.0,2,2,0,260,0.0,0.0,-117.60937499999999,39.367194312860079,-60.46875,-49.256884408215114,301.41683524727443,1.7173657635121344
2,4,3.0,1,0,1.0,0.0,2,0,0,728,0.0,0.0,-66.734375,-118.88580347543028,-106.17187500000001,9.5491339287359303,114.36306904140653,4.1175043769280819
2,5,1.0,1,0,0.0,1.0,2,7,0,639,0.0,0.0,-9.5312499999999982,-100.07188214610731,60.46875,-77.414771058949853,243.85502584292166,1.4087630363464996
2,6,1.0,1,0,0.0,1.0,2,6,0,53,0.0,0.0,-1.8281250000000044,58.610398133823011,0.0,-94.15964229371265,111.10355412908693,1.2086824683683517
2,7,1.0,1,0,0.0,1.0,2,3,0,14,0.0,0.0,132.515625,-52.890648623785573,-151.875,-57.185723309627988,59.293883433311336,2.2174648341870125
3,0,1.0,1,0,0.0,1.0,3,0,0,105,0.0,0.0,12.390625000000009,-2.9710780326589341,0.0,172.90632707221292,4.2611407179634986,8.29333358421718
3,1,3.0,1,0,1.0,0.0,3,2,0,651,0.0,0.0,30.953124999999975,165.77957409455578,-123.04687500000001,88.193974702398748,131.58243918005294,1.9257061173220791
3,2,1.0,1,0,0.0,1.0,3,1,0,336,0.0,0.0,19.812500000000004,-117.96159661689941,-54.140624999999972,91.319945693921781,264.98741537811446,3.6510189169393925
3,3,1.0,1,0,0.0,1.0,3,6,0,600,0.0,0.0,114.32812500000003,-114.0730930584387,6.3281250000000009,-54.462322208025618,63.876882458327614,12.510300071530764
3,4,1.0,1,0,0.0,1.0,3,7,0,403,0.0,0.0,89.718750000000014,-31.111423606486884,116.71875000000001,-73.875443396228093,329.3826355784131,7.1265370565661215
3,5,1.0,1,0,0.0,1.0,3,5,0,266,0.0,0.0,-137.65625000000003,150.54067080460908,0.0,55.437475351118188,171.26188964478118,3.7175624793835595
3,6,1.0,1,0,0.0,1.0,3,3,0,9,0.0,0.0,166.70312500000003,-151.56964048110387,-5.625,-140.62053382859199,268.08227920886253,12.226965355484026
3,7,3.0,1,0,1.0,0.0,3,4,0,726,0.0,0.0,-3.4374999999999765,-16.980426224220967,-170.15624999999997,98.20470619156869,140.03443083183029,1.9256077593863665
4,0,1.0,1,0,0.0,1.0,4,7,0,241,0.0,0.0,0.43750000000001088,89.930365184232087,-81.562499999999986,-71.236712195307263,129.47246561993504,1.9341674656461691
4,1,1.0,1,0,0.0,1.0,4,0,0,409,0.0,0.0,110.76562500000003,47.214642954431994,-38.671875,131.33221194446858,14.034224358033164,6.5264156629164063
4,2,1.0,1,0,0.0,1.0,4,3,0,528,0.0,0.0,-1.7812500000000004,68.806321372784453,4.2187500000000009,-2.0825652797308845,3.4109002942515465,1.6338316516976192
4,3,1.0,1,0,0.0,1.0,4,6,0,558,0.0,0.0,-16.843749999999989,93.099080968979919,125.15625000000001,117.85633573461689,315.17403267327956,3.0593768326289137
4,4,1.0,1,0,0.0,1.0,4,1,0,633,0.0,0.0,0.60937499999998435,-160.27077902342106,-35.156250000000036,-32.4907005568679,204.23340077756325,1.5172854806296527
4,5,3.0,1,0,1.0,0.0,4,4,0,1,0.0,0.0,-67.109375,123.2875025712775,-116.71875000000001,28.926425835253607,200.16809969140141,5.21787850770761
4,6,3.0,1,0,1.0,0.0,4,2,0,238,0.0,0.0,23.140624999999989,138.07460610744457,-175.07812500000003,-55.007979801441344,244.38024461288666,1.3673962544726237
4,7,1.0,1,0,0.0,1.0,4,5,0,702,0.0,0.0,-1.3437499999999862,48.63320911005048,104.76562500000001,28.318456037149531,123.0875018415624,8.1683708248128823
5,0,1.0,1,0,0.0,1.0,5,1,0,216,0.0,0.0,-8.8750000000000018,150.93641017711249,28.125,-9.3314105252937747,68.99941499381606,6.9348408611367631
5,1,3.0,1,0,1.0,0.0,5,6,0,494,0.0,0.0,-26.249999999999996,-167.30480259286458,-56.250000000000028,-44.816947014156533,283.26841640293406,1.3006251858460018
5,2,1.0,1,0,0.0,1.0,5,3,0,564,0.0,0.0,-88.171875,155.41683510879693,118.828125,-150.12400730831058,223.05292763477016,3.1675660003129451
5,3,1.0,1,0,0.0,1.0,5,0,0,452,0.0,0.0,-155.71875000000003,-58.806854762916572,-144.84375000000003,-44.625523113277175,53.98259174137727,2.4922070579941646
5,4,1.0,1,0,0.0,1.0,5,5,0,486,0.0,0.0,3.7343749999999933,117.46601750562397,-82.265625000000014,8.2389605756352182,6.8118290964925166,1.8339310359770025
5,5,1.0,1,0,0.0,1.0,5,2,0,341,0.0,0.0,4.7500000000000089,121.30981538833836,49.921875,-76.411870810116,9.1667239437757431,3.8679862595390659
5,6,3.0,1,0,1.0,0.0,5,4,0,31,0.0,0.0,7.0468750000000018,56.410991300682511,115.31250000000001,42.238677840568663,154.53838857361103,2.6754518834404735
5,7,1.0,1,0,0.0,1.0,5,7,0,399,0.0,0.0,-30.781250000000025,-72.691487031837099,0.0,-144.09027692082233,152.28036763872208,2.3840746243076865
6,0,1.0,1,0,0.0,1.0,6,7,0,236,0.0,0.0,15.374999999999988,19.617486149441351,129.375,137.91700728662772,153.62757177547692,3.3256902089951836
6,1,3.0,1,0,1.0,0.0,6,0,0,43,0.0,0.0,-14.828125000000009,133.15960738837381,-68.203125,7.9848662152565835,222.84185237170522,1.9919908130841577
6,2,1.0,1,0,0.0,1.0,6,4,0,579,0.0,0.0,-3.3593749999999978,-12.943950297530986,31.640625,61.28877403005945,343.98673323906667,1.9591811716109078
6,3,3.0,1,0,1.0,0.0,6,2,0,742,0.0,0.0,-136.45312500000003,-4.048623029934733,-111.09375000000004,-173.83701113088443,162.48692101164852,1.1171933377745518
6,4,1.0,1,0,0.0,1.0,6,1,0,111,0.0,0.0,-119.43750000000004,129.81924838012716,110.390625,161.23671219530729,159.86839259392238,5.2679481137656694
6,5,1.0,1,0,0.0,1.0,6,5,0,504,0.0,0.0,-58.078124999999993,-53.388555991135426,0.0,-67.077199315536319,336.32970903750072,2.9174300810500426
6,6,1.0,1,0,0.0,1.0,6,3,0,567,0.0,0.0,-8.1093749999999645,14.619342788684435,77.343750000000043,171.2926297284796,290.13559672649461,1.5839978195899675
6,7,1.0,1,0,0.0,1.0,6,6,0,607,0.0,0.0,-56.656250000000021,51.520792432899896,124.45312499999996,-17.604633336664001,345.80499656315351,1.6589226185333246
7,0,1.0,1,0,0.0,1.0,7,0,0,40,0.0,0.0,-12.874999999999989,143.44899158460905,0.0,-91.882282443010766,153.01119037133731,3.734025602143447
7,1,1.0,1,0,0.0,1.0,7,5,0,366,0.0,0.0,-4.9999999999999991,161.97645356901884,0.0,69.814196990535152,119.72717820721329,1.1338044250805979
7,2,1.0,1,0,0.0,1.0,7,7,0,213,0.0,0.0,-10.765625000000002,-6.8688084720781291,30.234375,129.67271155181334,197.53583426332131,1.3256887835177622
7,3,1.0,1,0,0.0,1.0,7,4,0,631,0.0,0.0,7.6874999999999671,95.563841549021362,-115.31250000000001,81.135376611589209,164.8321376938251,1.1924921819700103
