block,trial,conditionNum,ltmtrialsoldnew,ltmTrialsOldInvalidCued,ltmTrialsOldInvalidTested,ltmTrialsOldValidCued,ltmWMblockNum,ltmWMtrialNum,ltmWMimageNum,imageNum,ltmrating,ltmratingrts,ltmresptestimgdiff,ltmrespcuediff,ltmrespwmrespdiff,ltmrespdeg,mousposdeg,ltmresprts
0,0,1.0,1,0,0.0,1.0,0,4,0,619,0.0,0.0,-158.546875,-27.877900773115048,79.453125,179.48383577023517,4.9494039767629294,3.6257586872088723
0,1,1.0,1,0,0.0,1.0,0,3,0,635,0.0,0.0,-53.203125,122.89219195268745,21.796875,5.057248532559135,188.39525466818361,2.550809271124308
0,2,3.0,1,0,1.0,0.0,0,1,0,588,0.0,0.0,-11.578124999999982,-98.293220368647553,95.625,-99.462322208025626,230.6499444756156,0.83375067247834522
0,3,1.0,1,0,0.0,1.0,0,7,0,368,0.0,0.0,77.218749999999986,11.042529293185815,4.2187500000000009,49.920616036363988,128.27605852180676,1.8173092302022269
0,4,3.0,1,0,1.0,0.0,0,2,0,662,0.0,0.0,-20.046875000000004,26.775891419085241,-60.46875,107.02564084938798,41.997990201472525,0.71695396686845925
0,5,1.0,1,0,0.0,1.0,0,5,0,503,0.0,0.0,-33.546875,94.513751005512262,0.0,-139.73343833057547,251.68301422768215,1.8005330803280231
0,6,1.0,1,0,0.0,1.0,0,0,0,183,0.0,0.0,-136.37500000000003,118.848276638925,16.171875000000007,67.439121763631405,294.19940309179367,1.59221750634606
0,7,1.0,1,0,0.0,1.0,0,6,0,114,0.0,0.0,-94.406250000000028,129.05970191181731,-97.031250000000057,-87.397437797500189,249.98989020261763,1.8755306783423293
1,0,3.0,1,0,1.0,0.0,1,6,0,634,0.0,0.0,12.875000000000005,9.5598799789587989,61.875000000000007,60.286291594167508,295.59178424585934,4.3929282040771795
1,1,1.0,1,0,0.0,1.0,1,0,0,241,0.0,0.0,21.124999999999982,-21.187673919864629,-123.74999999999999,-78.284440465492182,48.134878933918273,0.87544970989983995
1,2,1.0,1,0,0.0,1.0,1,4,0,482,0.0,0.0,-167.71875,7.7180771975803788,63.28125,-144.34002617280532,159.38994386451344,0.87537159243947826
1,3,1.0,1,0,0.0,1.0,1,5,0,377,0.0,0.0,8.9062500000000373,-152.71930029449621,-21.093749999999989,-6.8427734126309403,339.37419674742171,0.92537958950561006
1,4,1.0,1,0,0.0,1.0,1,2,0,101,0.0,0.0,-112.84375000000004,90.139240851213742,-118.125,-7.3190193755904343,41.781852348539964,1.3671517266047886
1,5,3.0,1,0,1.0,0.0,1,1,0,699,0.0,0.0,8.6406250000000249,-57.299322742013537,3.5156250000000133,-87.936180271543051,302.93966727586496,0.8755674562708009
1,6,1.0,1,0,0.0,1.0,1,7,0,478,0.0,0.0,-28.656250000000043,119.44773304789931,-12.656250000000021,-117.14377674268576,325.43867780302219,1.1004961028229445
1,7,1.0,1,0,0.0,1.0,1,3,0,530,0.0,0.0,110.28124999999997,126.09832962871015,84.374999999999986,151.59475356652922,311.58657363110837,0.75859227795444895
