block,trial,conditionNum,ltmtrialsoldnew,ltmTrialsOldInvalidCued,ltmTrialsOldInvalidTested,ltmTrialsOldValidCued,ltmWMblockNum,ltmWMtrialNum,ltmWMimageNum,imageNum,ltmrating,ltmratingrts,ltmresptestimgdiff,ltmrespcuediff,ltmrespwmrespdiff,ltmrespdeg,mousposdeg,ltmresprts
0,0,1.0,1,0,0.0,1.0,0,6,0,690,0.0,0.0,60.453124999999993,-3.6035847888058723,-145.546875,45.581663057505374,262.66861222736395,3.275719175580889
0,1,1.0,1,0,0.0,1.0,0,3,0,65,0.0,0.0,-4.6718749999999991,6.195520085646832,-173.67187500000003,125.63654875425517,226.34221180811744,1.3004549033939838
0,2,1.0,1,0,0.0,1.0,0,1,0,145,0.0,0.0,42.906250000000007,60.690664593526854,107.57812500000001,-28.917110205791257,251.80321992264527,3.6508054891601205
0,3,1.0,1,0,0.0,1.0,0,0,0,651,0.0,0.0,92.078124999999986,-148.90445515158245,50.624999999999979,40.236358309273825,190.41088537191456,3.0673904749564826
0,4,1.0,1,0,0.0,1.0,0,5,0,192,0.0,0.0,151.98437499999997,60.439534926152682,63.984375,75.266883066697602,91.155566291632155,1.2087740243878216
0,5,1.0,1,0,0.0,1.0,0,2,0,303,0.0,0.0,4.2187499999999867,-106.39784298969266,25.312499999999964,62.605968062582491,290.15931017553493,0.8670627826359123
0,6,3.0,1,0,1.0,0.0,0,7,0,245,0.0,0.0,-60.046874999999993,86.969361122454799,56.953125000000007,66.936604562278305,166.79204703772601,1.0254005778115243
0,7,3.0,1,0,1.0,0.0,0,4,0,289,0.0,0.0,86.187500000000014,-162.75357482302221,-66.796875000000014,97.635432953190559,193.39066828800705,0.81712348014116287
1,0,1.0,1,0,0.0,1.0,1,1,0,750,0.0,0.0,11.499999999999998,110.99906443371326,-67.499999999999986,107.8469854082928,247.14760578847202,1.5088280793279409
1,1,1.0,1,0,0.0,1.0,1,5,0,745,0.0,0.0,-37.406249999999993,-122.53344698818228,178.59375,169.50852298766841,203.24101779503511,1.0087334264535457
1,2,3.0,1,0,1.0,0.0,1,0,0,557,0.0,0.0,-141.71875000000003,133.06732231479586,-4.2187500000000364,0.61827577951670398,287.01092319974532,0.7670872441958636
1,3,1.0,1,0,0.0,1.0,1,3,0,533,0.0,0.0,-3.8281250000000067,63.407756773413354,0.0,115.6410058243053,151.59677217096194,0.95881835743784904
1,4,1.0,1,0,0.0,1.0,1,2,0,578,0.0,0.0,-9.5156249999999964,-108.61814540992228,-111.79687499999997,-98.666117917433553,73.159940470876236,1.5005382662639022
1,5,1.0,1,0,0.0,1.0,1,4,0,87,0.0,0.0,-0.01562500000000221,78.519905889177764,-157.50000000000003,-64.944866852708046,136.67506426046074,1.2004571270663291
1,6,1.0,1,0,0.0,1.0,1,7,0,238,0.0,0.0,-3.9374999999999978,110.24206948269598,59.0625,-135.85086486473028,53.192179058042143,1.1754320240579545
