block,trial,cueposbin,cueposdeg,cuevalid,wmresptestcolordiff,wmrespcueposdiff,wmrespdeg,wmrts,imageposbin0,imageposbin1,imageposdeg0,imageposdeg1,imagenum0,imagenum1,mouseposdeg
0,0,2.0,108.28366135235362,1,4.6562499999999964,87.873678512234321,-163.84266013541207,1.7172963794391762,2.0,7.0,108.28366135235362,350.26840156414698,508,208,132.1161810086187
0,1,6.0,279.42447169844706,1,-13.031249999999959,-109.05718977441515,170.36728192403194,2.5675913693153234,6.0,1.0,279.42447169844706,61.956363151483174,380,426,251.70094788097759
0,2,3.0,149.44050108650532,0,-30.015625000000007,134.78909073470811,-75.770408178786582,2.4090608961510043,3.0,6.0,149.44050108650532,284.44677375951005,747,14,346.5623224466305
0,3,0.0,30.699240421425014,1,-1.6093749999999984,88.687139538925877,119.38637996035089,2.8094477157742404,0.0,7.0,30.699240421425014,343.06384615082305,194,323,189.93975506834934
0,4,7.0,354.10829717499422,1,18.218749999999996,-110.33365403475959,-116.22535685976536,1.5006548678315994,7.0,1.0,354.10829717499422,89.779115234314247,341,178,106.84493221367937
0,5,4.0,204.93858768547446,1,1.3125000000000326,19.873557972858748,-135.18785434166682,2.4504826407282962,4.0,5.0,204.93858768547446,254.23528437962622,507,39,150.66879757863873
0,6,5.0,242.36170075207082,0,20.968750000000014,-73.420997119137226,168.94070363293358,1.9088513498486464,5.0,2.0,242.36170075207082,113.81291000335722,671,479,291.55691523503179
0,7,1.0,67.032634340141328,1,-0.37500000000000216,99.431509290724463,166.46414363086578,2.4586347046310948,1.0,2.0,67.032634340141328,120.15211824093001,296,126,262.07277490249152
1,0,4.0,186.51237091589368,1,-28.437499999999961,139.86909183246613,-33.618537251640191,1.6759116974735662,4.0,0.0,186.51237091589368,35.348945760274425,629,84,293.1741070279146
1,1,2.0,103.37186205691143,1,-21.046875000000007,-120.17023383821673,-16.798371781305292,2.3673118602064278,2.0,5.0,103.37186205691143,253.35458732047024,16,249,247.55111015592564
1,2,0.0,28.483720297415669,1,-9.499999999999968,-164.74872120044074,-136.26500090302505,2.9839182478622206,0.0,3.0,28.483720297415669,139.28505696297515,164,245,180.13842402009817
1,3,6.0,285.94828744617911,1,1.1250000000000064,80.249590187251741,6.1978776334308439,2.950954761376579,6.0,5.0,285.94828744617911,239.94427841046362,714,166,41.949051073095632
1,4,1.0,66.11546780076101,1,2.406249999999984,-109.63719514407215,-43.521727343311134,2.0670947303237881,1.0,2.0,66.11546780076101,109.93958150230183,606,338,17.253064885543697
1,5,7.0,333.73879662355705,0,10.296875000000005,-31.7334134154735,-57.994616791916499,1.5759521242293886,7.0,6.0,333.73879662355705,274.2741034062438,564,200,333.36905677146581
1,6,3.0,166.9002697168817,0,21.328125000000007,-135.22480097877249,31.67546873810922,3.6338673010263847,3.0,4.0,166.9002697168817,220.87302038721705,597,290,133.91690054177212
1,7,5.0,237.31346954210872,1,-3.5937499999999991,140.31454982571094,17.628019367819636,2.5673461858864357,5.0,0.0,237.31346954210872,29.498097910415503,409,723,81.792732899677574
2,0,3.0,177.27805882025496,1,108.25000000000001,74.759199628228458,-107.96274155151661,2.6588623260836357,3.0,1.0,177.27805882025496,51.244204754529484,45,646,321.19032757714837
2,1,0.0,8.2568239131001295,0,27.343749999999986,-138.49318222237395,-130.23635830927381,3.2175050704504429,0.0,3.0,8.2568239131001295,149.38702522491343,105,312,272.85127844228219
2,2,2.0,93.525105284936814,1,-2.3437500000000004,-124.26059298685692,-30.735487701920107,2.4922228386653842,2.0,4.0,93.525105284936814,211.60016696462498,74,358,219.24371020655633
2,3,1.0,47.514907590077755,1,7.4531250000000107,-50.959110104731032,-3.4442025146532766,1.7092309850272613,1.0,4.0,47.514907590077755,217.11054628624152,308,163,164.12186753408525
2,4,4.0,222.08958523816881,1,9.09375,-26.003500167548051,-163.91391492937927,2.2756811110116359,4.0,3.0,222.08958523816881,135.50430752365062,282,246,344.84714381016931
2,5,5.0,240.73474358023046,1,8.8593750000000036,-56.556174611341,-175.82143103111054,1.4260047816469523,5.0,6.0,240.73474358023046,301.72924699899954,627,681,169.08939333347709
2,6,7.0,347.81964894433469,0,-144.09374999999997,-150.6211077242688,-162.80145877993414,3.3258533381153939,7.0,2.0,347.81964894433469,134.75464962818771,203,212,128.46839236632724
2,7,6.0,278.67342591864679,1,81.953124999999986,-45.892379695663237,-127.21895377701649,3.1672746835565704,6.0,1.0,278.67342591864679,57.122679981992853,364,533,227.24537484434805
3,0,0.0,25.863404354970434,1,12.140624999999986,129.67106053436683,155.53446488933727,4.3596447463178265,0.0,7.0,25.863404354970434,340.89048202442706,327,524,93.673230495769758
3,1,5.0,243.04045351562561,0,50.109375,-143.32720249068532,99.713251024940305,4.484250670975598,5.0,7.0,243.04045351562561,316.73006510072707,238,165,341.88029458227862
3,2,1.0,60.958099909643941,1,32.046875000000014,10.77399388311494,71.732093792758889,2.0171383216566028,1.0,2.0,60.958099909643941,106.95736364583806,132,485,118.57227809099948
3,3,4.0,222.20206070373362,1,-8.5781249999999911,-171.87477225554696,50.327288448186664,1.583889510084191,4.0,1.0,222.20206070373362,67.191889745189485,149,621,45.494789782250159
3,4,6.0,275.40234384829785,1,-11.046875000000005,-130.54446492225338,144.85787892604446,1.7423321733685952,6.0,4.0,275.40234384829785,205.72649693504277,351,314,310.82838524825905
3,5,2.0,114.39799376177277,0,-3.8593750000000111,-97.407170469786607,16.990823291986167,1.8340062573097384,2.0,7.0,114.39799376177277,346.45405057265776,482,599,124.76788537174374
3,6,3.0,152.66513846832487,1,6.2968749999999991,-70.9843351178246,81.68080335050027,1.8756241486289582,3.0,1.0,152.66513846832487,49.969256053018917,234,465,353.2473076937053
3,7,7.0,348.7079259358033,1,14.500000000000014,135.49045582850601,124.1983817643093,2.4006867416774185,7.0,2.0,348.7079259358033,113.86306680393812,218,58,51.022977299716359
4,0,7.0,336.1217098725603,1,-7.3437499999999947,68.148447063415574,44.270156935975898,1.8087580661076572,7.0,6.0,336.1217098725603,286.56311554096777,545,102,106.89599140596862
4,1,1.0,48.580736277421266,0,-163.234375,127.46501600705763,176.04575228447891,5.5512441918617697,1.0,5.0,48.580736277421266,247.97379344222273,746,144,36.957499176551039
4,2,4.0,196.76240752028346,1,-4.3124999999999991,-6.2523641510148105,-169.48995663073137,1.7006401568260117,4.0,7.0,196.76240752028346,326.44449540258159,750,232,270.86358590021933
4,3,2.0,109.96404746409161,0,-5.7343750000000027,-167.3535465013926,-57.389499037300993,1.7755958670049949,2.0,7.0,109.96404746409161,320.61193395674763,617,147,268.31463028143514
4,4,3.0,166.04119188975653,1,-15.046875000000005,-137.90984952569551,28.131342364061044,1.6842416619101641,3.0,6.0,166.04119188975653,304.37319384039745,610,744,167.72828125681318
4,5,0.0,39.936890131113458,1,-11.875,84.789779227257284,124.72666935837073,1.4921190633531296,0.0,4.0,39.936890131113458,223.78530822683507,717,345,167.17270360801166
4,6,5.0,240.12250279285007,1,1.7343749999999909,69.349957055493746,-50.527540151656169,2.0922177639376969,5.0,1.0,240.12250279285007,80.746217349157092,403,69,322.26256738303698
4,7,6.0,298.47267719414737,1,-20.53125,60.766804028721815,-0.76051877713086635,2.1256525157814394,6.0,0.0,298.47267719414737,41.73352736155514,135,628,350.52822631369907
5,0,4.0,181.66576299531198,1,-16.749999999999975,90.936799207187846,-87.397437797500189,1.4005096964347103,4.0,0.0,181.66576299531198,39.165541194415276,307,517,307.14172948814479
5,1,7.0,334.18590544402207,0,-14.515625000000007,141.19795681972931,115.38386226375138,1.9588376937017529,7.0,4.0,334.18590544402207,195.08930926251369,590,359,355.72579533144642
5,2,6.0,283.60278707508132,1,2.25,139.25922305015723,62.862010125238534,2.442125021881111,6.0,7.0,283.60278707508132,357.62085614452673,140,662,95.455597156975116
5,3,5.0,252.81650091908,1,-8.1093750000000018,-149.60597094070542,103.21052997837455,2.7008670940458614,5.0,3.0,252.81650091908,140.48793868367173,334,402,140.90523790075713
5,4,1.0,86.121226702467752,1,-15.234374999999991,-47.620572982122319,38.500653720345433,1.3090431631171668,1.0,0.0,86.121226702467752,44.119985705225439,676,642,26.012011473731391
5,5,3.0,166.2778526145826,0,-32.953125,-6.056737420891201,160.22111519369139,2.117472227275357,3.0,2.0,166.2778526145826,118.03745415308808,758,425,149.45323428212177
5,6,2.0,111.66162340678056,1,11.031250000000032,171.60902046962309,-76.729356123596332,2.4588160263292593,2.0,0.0,111.66162340678056,24.581475270028857,120,503,18.091714212167702
5,7,0.0,32.952210413226858,1,-18.281249999999989,-32.688176431967747,0.26403398125910899,1.5759646684982727,0.0,6.0,32.952210413226858,289.55398374174058,150,324,321.80255060390169
6,0,6.0,300.29478684793588,0,-14.140624999999991,-34.398662320572825,-94.103875472636958,1.7089253610329251,6.0,5.0,300.29478684793588,260.00322423908312,381,657,293.77236279313126
6,1,3.0,172.57108098827538,0,17.843750000000004,-30.265321454964546,142.30575953331083,2.1506583745258467,3.0,4.0,172.57108098827538,215.68463976137124,20,661,121.89197024639375
6,2,7.0,352.83399332511459,1,-29.562500000000007,-81.271768408272166,-88.437775083157604,1.4172098239869229,7.0,2.0,352.83399332511459,134.92153838378249,110,767,291.00550695178555
6,3,5.0,246.37579935640682,1,-155.40624999999997,-137.62604172609565,108.74975763031114,3.3176205917588959,5.0,7.0,246.37579935640682,340.30571070166877,76,183,78.381003054742195
6,4,0.0,38.031232276664284,1,-8.234374999999968,163.86696052897477,-158.10180719436099,1.5338655334253417,0.0,7.0,38.031232276664284,317.9630295442206,303,412,41.446177601603239
6,5,4.0,187.1993040761989,1,-13.031250000000011,78.791194382361837,-94.009501541439249,1.6760322935078875,4.0,5.0,187.1993040761989,243.71565430394446,525,156,230.0488779705874
