block,trial,cueposbin,cueposdeg,cuevalid,wmresptestimgdiff,wmrespcuediff,wmrespdeg,wmrts,imageposbin0,imageposbin1,imageposbin2,imageposbin3,imageposdeg0,imageposdeg1,imageposdeg2,imageposdeg3,imagenum0,imagenum1,imagenum2,imagenum3,mouseposdeg,ncues
0,0,6.0,[ 283.8746406    90.33331825  201.25889071  138.22540006],0,-36.583085698529828,156.95823664965386,126.9164039501705,3.3924319781217491,6.0,2.0,4.0,3.0,283.87464059982432,90.333318251640677,201.25889070844067,138.2254000649356,2317,762,907,754,97.218077311692497,4.0
0,1,6.0,[ 290.84801766   84.59252415   15.32778765  152.39128692],1,-73.604553975709479,-73.604553975709479,4.4525716313656964,2.250652022426948,6.0,1.0,0.0,3.0,290.84801765565624,84.592524152143682,15.327787652208501,152.39128692453528,2194,360,567,423,198.99240017426453,4.0
0,2,6.0,[ 305.32066679   80.04608581   14.57423369  186.42834037],1,3.7131645418539025,3.7131645418539025,-58.392497753751094,2.3339526643685531,6.0,1.0,0.0,4.0,305.32066678810281,80.046085813491032,14.574233688292097,186.4283403662763,2154,1413,822,1433,206.85790418732262,4.0
0,3,1.0,[  80.66721688  202.18513136  336.80598464  247.91541928],1,-2.8129813676258726,-2.8129813676258726,83.480198248343015,1.8005660934577463,1.0,4.0,7.0,5.0,80.667216880717149,202.18513135920273,336.80598464323231,247.91541928438681,1036,827,1071,861,104.06258230529838,4.0
0,4,3.0,[ 146.23853996  342.29816674  212.34061801  274.84035207],1,-115.66396768918152,-115.66396768918152,-98.097492352262762,1.9755875044356799,3.0,7.0,4.0,6.0,146.23853995855575,342.29816674486494,212.34061801016529,274.8403520680921,2251,1174,814,134,115.96400392053073,4.0
0,5,5.0,[ 244.96106693    2.63604616  121.06385402  317.87068136],1,130.04140256045918,130.04140256045918,114.91966436983243,1.9255645254161209,5.0,0.0,2.0,7.0,244.96106693029159,2.6360461636376105,121.06385401645689,317.87068136309267,2211,1935,924,529,171.85851724692915,4.0
0,6,7.0,[ 343.38531137  208.96044231  286.19289994  135.9230881 ],1,64.412684757196615,64.412684757196615,-81.027373385103616,2.450637881498551,7.0,4.0,6.0,3.0,343.38531137209299,208.96044231183771,286.19289994227182,135.9230881024807,1812,977,830,1066,338.68775737340127,4.0
0,7,1.0,[  77.56397629  251.8946666    24.81781825  204.4572734 ],1,19.944653995595377,19.944653995595377,57.619322293430777,1.8671978259371826,1.0,5.0,0.0,4.0,77.563976289026158,251.89466660319744,24.817818250201135,204.4572734029004,48,1795,71,2206,357.01907392751559,4.0
0,8,5.0,[ 252.63880654  189.93523564   58.12651312  318.40494148],1,-8.6150311983746644,-8.6150311983746644,-98.746162262555217,2.3505947744706646,5.0,4.0,1.0,7.0,252.63880653907015,189.93523563739336,58.12651311876494,318.4049414794606,964,758,536,2019,58.216359651188519,4.0
0,9,3.0,[ 151.47318428  268.45462281  108.62197638  193.59716023],0,143.07435061236725,26.092912078122151,125.38027220030115,2.6839772399398498,3.0,5.0,2.0,4.0,151.4731842784233,268.45462281266839,108.62197637806403,193.59716022991068,1029,475,112,1371,220.71341347340632,4.0
0,10,0.0,[  27.25512479  330.7607546   207.84732473  157.75171452],1,176.94991143857106,176.94991143857106,-149.69478664549007,2.1422198641375871,0.0,7.0,4.0,3.0,27.255124793080984,330.76075459628419,207.84732472554933,157.75171452388466,1487,2082,2342,1920,338.37629892738136,4.0
0,11,7.0,[ 332.58999474  233.40366275  277.487173    175.598426  ],1,57.6202540092115,57.6202540092115,-85.03025927188969,1.9338828720210586,7.0,5.0,6.0,3.0,332.58999473732183,233.40366274751702,277.48717299690981,175.59842600010998,1126,1096,1135,1207,280.12389852474195,4.0
0,12,0.0,[  17.01195303  243.79757274  112.42775065  196.09863114],0,86.906685277532745,-139.87893444080976,156.89088746594723,4.6426075993804261,0.0,5.0,2.0,4.0,17.011953025137469,243.79757274347998,112.42775065301633,196.09863113752382,2139,447,1662,293,124.48324187520994,4.0
0,13,4.0,[ 216.27513334  352.5618435   303.8049619    83.69127314],0,4.1763064847384967,-132.11040367359024,-11.614462982642793,2.3422750023601111,4.0,7.0,6.0,1.0,216.27513334376695,352.56184350209571,303.80496189510944,83.691273143133259,1148,638,2333,260,254.82339011402499,4.0
0,14,0.0,[  20.6073348   278.07090271  326.49000771  181.95001392],1,107.53694046145608,107.53694046145608,-86.929605658689624,2.3672762282949407,0.0,6.0,7.0,4.0,20.607334802766463,278.07090271164839,326.490007711543,181.95001392033728,588,973,126,1243,26.286350860909707,4.0
0,15,2.0,[ 127.51802158  170.88137983  215.96273961  317.16914183],1,-22.290355455736837,-22.290355455736837,149.8083770390424,1.8755341338110156,2.0,3.0,4.0,7.0,127.51802158330554,170.88137983372269,215.9627396070035,317.16914182589539,654,1525,942,714,209.45710287553453,4.0
0,16,5.0,[ 251.81182521   91.66017283  198.61865593  338.48489899],0,-170.90841920366614,-10.756766819244165,-97.431407971172504,3.2841084427200258,5.0,2.0,4.0,7.0,251.8118252095833,91.660172825161382,198.61865592565155,338.48489899483127,2107,1723,1991,653,203.59287875976204,4.0
0,17,7.0,[ 324.43762568   60.16446303  127.74536131    6.03001881],0,46.128219560897413,-49.598617784442879,14.036243467926477,2.5923137758945813,7.0,1.0,2.0,0.0,324.43762568348359,60.164463028823896,127.7453613053132,6.0300188058741684,779,1424,1273,1898,103.58369342549092,4.0
0,18,4.0,[ 223.34703578  315.15141672   62.65967356  118.73404053],1,-82.190642016774021,-82.190642016774021,-54.462322208025618,2.2256003339134622,4.0,7.0,1.0,2.0,223.34703577520037,315.15141671804952,62.659673559940579,118.73404053248501,248,61,25,2168,35.094720277330673,4.0
0,19,3.0,[ 170.19151446  214.603324    270.69903504  130.10379229],1,2.2701681660460116,2.2701681660460116,167.92134628948716,1.5338213475624798,3.0,4.0,6.0,2.0,170.19151445553317,214.60332399901813,270.6990350355552,130.10379229039788,2041,926,220,2353,311.22115017667659,4.0
0,20,4.0,[ 181.05373716  299.2710401    15.94143546  247.78086988],1,-7.7929145327989469,-7.7929145327989469,-171.15334831195889,2.7256627706956351,4.0,6.0,0.0,5.0,181.05373715524217,299.27104009550072,15.94143546233815,247.78086987880442,771,965,531,1183,92.799122974059571,4.0
0,21,2.0,[ 116.57627267  273.18022689   60.95850758  338.4688743 ],1,20.056470919403754,20.056470919403754,96.519801751656985,1.5505113543622429,2.0,6.0,1.0,7.0,116.57627267106074,273.18022689063355,60.958507581822907,338.46887429909685,1727,665,765,1869,232.49628974863688,4.0
0,22,1.0,[  47.97874182  124.51363868  268.17417255  215.75826992],1,-12.077729608113259,-12.077729608113259,60.05647142738799,1.9422274477692554,1.0,2.0,5.0,4.0,47.978741819274738,124.51363867819745,268.17417255217424,215.75826992180725,557,2075,768,566,142.62344367488078,4.0
0,23,2.0,[ 116.7084388   209.41808829  268.74249317  313.29627439],1,-19.384263735087714,-19.384263735087714,136.09270253565975,2.3256078035046812,2.0,4.0,5.0,6.0,116.70843880057205,209.41808828870697,268.74249316859891,313.29627438771848,511,777,1238,581,208.70486306983912,4.0
1,0,6.0,[ 291.16494424    0.95350362  185.76687593  139.35848805],1,-3.1331272668975907,-3.1331272668975907,-65.701928493166619,2.4089628994406667,6.0,0.0,4.0,3.0,291.16494423993583,0.95350361830814967,185.7668759274093,139.35848804819412,2256,1277,2140,78,165.95343357013343,1.0
1,1,7.0,[ 338.09167255   48.39752261   99.38827778  215.87529085],1,15.006262681562635,15.006262681562635,-36.914590132499697,1.74219939399336,7.0,1.0,2.0,4.0,338.09167254906293,48.397522614838927,99.388277784618552,215.8752908469084,1784,946,1132,804,1.2729749025912751,1.0
1,2,0.0,[  35.25890976   85.61355161  253.90029594  334.71432605],1,-2.5540431168285171,-2.5540431168285171,37.812952878315038,1.5922105698846281,0.0,1.0,5.0,7.0,35.258909761486521,85.613551611854405,253.90029594234375,334.71432605264943,1234,1125,2360,2077,142.79736638117899,1.0
1,3,2.0,[  93.18611912  272.24239478  175.86298078  353.04835658],1,0.94037655721716629,0.94037655721716629,92.245742565895085,1.4588404777314281,2.0,6.0,3.0,7.0,93.186119123112249,272.24239477578118,175.8629807756401,353.04835657864891,686,842,657,1331,88.923666495640731,1.0
1,4,0.0,[   2.19092423  194.07885456  239.76540086  320.29453323],0,-2.0765249315312699,166.03554473676076,-163.84462050696885,2.5006543032359332,0.0,4.0,5.0,7.0,2.1909242297919072,194.0788545614999,239.76540085798825,320.29453323345848,834,723,522,1191,52.583634215440284,1.0
1,5,4.0,[ 216.26245672  313.25458205  258.06712155  140.14394787],1,-81.836935959240151,-81.836935959240151,-61.900607323221251,4.2508527324534953,4.0,6.0,5.0,3.0,216.26245671753861,313.25458205404698,258.06712154815375,140.14394786979764,2264,1109,1104,1818,134.91705325823392,1.0
1,6,1.0,[  48.37203378  306.19179054  184.37508147  225.15712007],1,-4.8507801090851457,-4.8507801090851457,53.222813890574912,2.3589747025544057,1.0,6.0,4.0,5.0,48.372033781489762,306.1917905357181,184.37508147089,225.15712007147553,352,713,17,1329,266.91184693970155,1.0
1,7,0.0,[  12.98066362  300.60097694  102.37265055  238.65192221],0,16.456933452191358,88.83662013180539,-75.855956509673277,4.0758273300889414,0.0,6.0,2.0,5.0,12.980663622132109,300.60097694251806,102.37265054542127,238.65192220971434,1925,742,643,1754,253.00910690177736,1.0
