block,trial,cueposbin,cueposdeg,cuevalid,wmresptestimgdiff,wmrespcuediff,wmrespdeg,wmrts,imageposbin0,imageposbin1,imageposbin2,imageposbin3,imageposdeg0,imageposdeg1,imageposdeg2,imageposdeg3,imagenum0,imagenum1,imagenum2,imagenum3,mouseposdeg,ncues
0,0,1.0,[  75.00190962   24.56070811  336.62642206  280.09740608],0,110.78624777848533,161.22744928575631,-86.225539664707043,2.5423392298707768,1.0,0.0,7.0,6.0,75.001909621049251,24.560708113778286,336.62642206473407,280.09740607709989,1064,1151,1067,336,172.11988268489833,4.0
0,1,2.0,[ 116.54948928  330.98797827  165.73016278   70.30378559],0,-21.784828437493374,123.77668256804401,-7.2271932883130718,1.9755637784783175,2.0,7.0,3.0,1.0,116.54948927973093,330.98797827419355,165.7301627847211,70.30378559324501,924,1186,31,967,253.88323975226194,4.0
0,2,0.0,[   5.35001514   83.96240202  174.67389197  132.23778093],1,-3.4738467980888172,-3.4738467980888172,8.8238619430404768,1.5838341355574812,0.0,1.0,3.0,2.0,5.3500151449516595,83.962402016369452,174.67389196729488,132.23778092731027,1365,2152,845,1966,295.88066376643258,4.0
0,3,4.0,[ 197.06644843  128.78431023  245.41335178  288.67797679],0,-26.738150126819484,41.543988070050709,155.52246035853366,1.4838138649356551,4.0,2.0,5.0,6.0,197.06644842858438,128.78431023171419,245.41335177971115,288.67797678646679,1198,1394,1794,240,22.497762407214459,4.0
0,4,5.0,[ 239.56455261  321.09840633   20.90245339   65.54005413],1,-10.452340865268951,-10.452340865268951,-109.98310652189998,2.0589034077747783,5.0,7.0,0.0,1.0,239.56455261283105,321.09840632830333,20.902453387830047,65.540054129900426,1943,499,1762,449,165.82128096398338,4.0
0,5,3.0,[ 177.97646003   11.05380595  115.39556507  279.56453411],1,-4.2261381300868761,-4.2261381300868761,-177.79740183823421,1.4921635939044791,3.0,0.0,2.0,6.0,177.97646003167893,11.053805945018061,115.39556506634662,279.56453410777772,1674,774,431,831,279.64802914635294,4.0
0,6,5.0,[ 241.8705779     4.17070979  196.60575387   56.16337393],1,-2.36009447323385,-2.36009447323385,-115.76932762433871,1.8588811129393434,5.0,0.0,4.0,1.0,241.87057790242741,4.1707097918543319,196.60575387404529,56.163373930712972,2207,1348,35,2026,167.76619540843308,4.0
0,7,2.0,[ 122.97476384   61.54513954  337.44828247  297.20799019],1,-12.025236156472891,-12.025236156472891,135.0,2.6756247043867916,2.0,1.0,7.0,6.0,122.9747638435271,61.545139536201958,337.44828246575776,297.20799019361914,356,651,347,1970,229.75891977904789,4.0
0,8,0.0,[  25.56126605   83.36112083  257.92892913  337.31048417],1,-61.931032226806728,-61.931032226806728,87.492298272933738,2.792334739542639,0.0,1.0,5.0,7.0,25.561266046127002,83.361120831781193,257.92892913123529,337.31048417486795,1946,1043,552,1740,287.2023591643503,4.0
0,9,1.0,[  87.09116235  250.68018318  311.10225496  197.74894876],1,1.0869504369841141,1.0869504369841141,86.004211909706456,2.4256477262260887,1.0,5.0,6.0,4.0,87.091162346690567,250.68018317597645,311.10225496141845,197.74894875920492,764,441,354,1914,261.52105742837716,4.0
