block,trial,cueposbin,cueposdeg,cuevalid,wmresptestimgdiff,wmrespcuediff,wmrespdeg,wmrts,imageposbin0,imageposbin1,imageposbin2,imageposbin3,imageposdeg0,imageposdeg1,imageposdeg2,imageposdeg3,imagenum0,imagenum1,imagenum2,imagenum3,mouseposdeg,ncues
0,0,6.0,[ 302.75245932  214.10493905  127.70264091   80.07301651],1,10.951049832684957,10.951049832684957,-68.198590513648185,3.3840597538510337,6.0,4.0,2.0,1.0,302.7524593190368,214.10493905040721,127.7026409114967,80.073016507186395,436,780,1748,2233,94.38555547087924,1.0
0,1,1.0,[  56.15581981   97.57086591  289.85832022  338.14278146],1,-1.9457717994308177,-1.9457717994308177,58.101591610693262,1.0920949359424412,1.0,2.0,6.0,7.0,56.15581981126244,97.570865908910491,289.85832021920572,338.14278146108796,2000,1279,296,335,53.919752951629683,1.0
0,2,3.0,[ 171.57754731  329.79486726   72.51400017  128.93421516],1,3.4353735445047424,3.4353735445047424,168.14217376699952,1.8255136650404893,3.0,7.0,1.0,2.0,171.57754731150428,329.79486725736717,72.514000172058076,128.93421515968487,935,620,850,429,180.21143032560099,1.0
0,3,7.0,[ 356.31692875  309.63738121  232.3514558   180.92838071],0,93.982053115664712,140.66160065413271,-144.34467190209972,2.0422144909971394,7.0,6.0,5.0,4.0,356.31692875203299,309.63738121356499,232.35145579936469,180.92838071350963,641,2110,2085,2141,280.04132506268354,1.0
0,4,4.0,[ 202.49101525    0.44476196  142.01605639   88.86270521],1,5.0381835894891385,5.0381835894891385,-162.54716834030219,1.4088006939855404,4.0,0.0,3.0,1.0,202.49101524918694,0.44476195775696559,142.01605638869577,88.862705213481803,1524,778,1427,1397,181.85336604618402,1.0
0,5,4.0,[ 201.77513013   74.69529266  122.61727072  324.28829939],1,-132.14128449725038,-132.14128449725038,-26.083585371239632,2.3589282318716869,4.0,1.0,2.0,7.0,201.77513013150997,74.695292655052114,122.61727072489467,324.2882993939246,1520,123,1308,1846,208.03585462062435,1.0
0,6,2.0,[ 121.5339124   207.99386137  272.75083275   46.2765698 ],1,-2.715120611324314,-2.715120611324314,124.24903300681196,1.6671632093493827,2.0,4.0,6.0,1.0,121.53391239548765,207.99386136866073,272.75083275235352,46.27656980317991,1458,1085,503,1865,60.641057320515486,1.0
0,7,5.0,[ 239.26104995   77.70786693  347.80045588  297.17386959],1,1.8734031946555112,1.8734031946555112,-122.61235324684978,1.5754819481517188,5.0,1.0,7.0,6.0,239.26104994780573,77.707866927913599,347.8004558786962,297.17386959012157,1214,1013,1705,509,62.854031754594772,1.0
0,8,5.0,[ 267.59448839   15.63078237  134.37551514  191.93321072],1,-4.0538561190994038,-4.0538561190994038,-88.35165549510387,1.5254677931079641,5.0,0.0,2.0,4.0,267.59448838579675,15.630782374624394,134.37551514297854,191.93321071859737,1901,2265,2223,991,330.89155665008394,1.0
0,9,1.0,[  62.33177141  168.90737406    8.31836977  127.61206206],1,6.3046391097794086,6.3046391097794086,56.027132305060718,1.7338292677886784,1.0,3.0,0.0,2.0,62.331771414840119,168.90737406394754,8.3183697676399095,127.61206206161927,1365,1107,1029,908,330.98308175612397,1.0
0,10,1.0,[  59.63997926  266.61220354   14.49993522  196.31093906],0,64.02340162662145,-142.94882264939562,-157.41119809012679,1.6838467584457248,1.0,5.0,0.0,4.0,59.63997926047756,266.61220353649469,14.499935218871578,196.31093906474331,1551,468,11,754,145.80917903275892,1.0
0,11,3.0,[ 145.09232032   55.2729397     7.41741093  193.7290259 ],1,-14.155668474604996,-14.155668474604996,159.24798879120667,1.6338149274815805,3.0,1.0,0.0,4.0,145.09232031660167,55.272939699756009,7.4174109298466941,193.72902590422555,437,872,1745,1110,1.134030884075532,1.0
0,12,2.0,[ 123.15860515  246.57569271    8.90284186   53.83221681],0,-113.84559219559428,122.73732024883725,0.42128490416859743,1.2921321694739163,2.0,5.0,0.0,1.0,123.15860515300585,246.57569270857434,8.9028418640769704,53.832216807313344,1608,51,589,689,353.66888530559538,1.0
0,13,0.0,[  15.33157562   56.23564337  248.14580375  319.25067356],1,28.016989913115808,28.016989913115808,-12.685414291658773,4.1258238213486038,0.0,1.0,5.0,7.0,15.331575621457036,56.235643373128759,248.14580375194689,319.25067356194677,29,934,1861,1877,201.6425601545466,1.0
0,14,6.0,[ 294.36241697  177.32387269   35.50090132   89.7788704 ],1,5.7978399037104023,5.7978399037104023,-71.435422937814721,1.8671844775089994,6.0,3.0,0.0,1.0,294.36241696589565,177.32387268547302,35.500901321712284,89.778870395275405,179,1215,1958,1288,157.97039724425298,1.0
0,15,6.0,[ 279.85580324  332.4676027   119.49332262   68.39772026],1,-3.325342834267853,-3.325342834267853,-76.818853928340246,1.8338433230528608,6.0,7.0,2.0,1.0,279.85580323739191,332.46760269512123,119.49332262056362,68.397720257072507,1841,1921,127,1063,82.49398852407802,1.0
0,16,3.0,[ 174.80447109   65.23680201  128.99519716  313.74309056],1,-0.12936025228923648,-0.12936025228923648,174.93383133743555,1.8088532087858766,3.0,1.0,2.0,6.0,174.8044710851463,65.236802014667731,128.99519715635344,313.74309055671085,1922,2252,317,1600,315.61293872747103,1.0
0,17,5.0,[ 225.10082008  354.05042273  182.26608801   66.04682021],0,-2.8939838073404851,-131.84358646253841,-3.0555934577529356,2.3089859210886061,5.0,7.0,4.0,1.0,225.10082007970865,354.05042273490659,182.26608801297226,66.046820206890985,1225,480,2258,1611,237.19380547292599,1.0
0,18,0.0,[  25.2080505   209.05722448  142.65529963   86.34343021],1,7.0300316992515057,7.0300316992515057,18.178018798418506,1.7421766017214395,0.0,4.0,3.0,1.0,25.208050497670012,209.05722447686577,142.65529962975168,86.343430211307123,1200,1263,932,2018,300.88884500751482,1.0
0,19,7.0,[ 348.7003851   180.92166452   69.74062729  260.02217914],0,3.4385401797571062,171.21726076122383,177.48312434306052,1.6588269941858016,7.0,4.0,1.0,5.0,348.70038510428435,180.92166452281762,69.740627288624509,260.02217913740049,2037,608,48,494,242.15460665333609,1.0
0,20,0.0,[  35.34259693  342.55662445  239.50133212  191.82364542],1,1.0863840035756029,1.0863840035756029,34.256212929019114,1.8671821967582218,0.0,7.0,5.0,4.0,35.342596932594716,342.55662444517668,239.50133211840259,191.82364542425671,426,1767,806,994,28.009034011228554,1.0
0,21,7.0,[ 339.75943187   39.90295891  111.54621642  288.88976014],1,-135.80053330329758,-135.80053330329758,115.55996517182383,1.5755238573183306,7.0,0.0,2.0,6.0,339.75943186852629,39.902958906633984,111.54621642395549,288.88976014250647,1454,527,1868,756,64.961404768091953,1.0
0,22,2.0,[ 103.31485748  327.56589971  147.66162644  272.81091131],0,6.7395576815694378,142.4885154455242,-39.173657970444225,1.4088654108927585,2.0,7.0,3.0,6.0,103.31485747507998,327.56589971112521,147.66162643655878,272.81091131152061,1848,18,1354,1575,57.032938601769956,1.0
0,23,4.0,[ 209.51273553   29.54720367  322.49096229   69.81861605],1,2.9476843515931281,2.9476843515931281,-153.43494882292202,1.3837837806786411,4.0,0.0,7.0,1.0,209.51273552867113,29.547203667846553,322.49096229272573,69.818616048462331,2288,676,98,1069,289.58051381609283,1.0
1,0,0.0,[  1.52864088e-01   5.40844307e+01   2.38708044e+02   1.22445971e+02],1,6.2386152075704331,6.2386152075704331,-6.0857511195175764,1.5754896457656287,0.0,1.0,5.0,2.0,0.15286408805285645,54.084430729994857,238.70804434372312,122.44597147982545,442,1950,1648,928,329.77664212492272,4.0
1,1,3.0,[ 145.92930998  281.47247045   23.62280364  328.54185477],0,-87.859855881401629,136.59698364453322,9.332326334630098,1.0837624269770458,3.0,6.0,0.0,7.0,145.92930997916332,281.47247045322848,23.62280363514515,328.54185476700422,413,919,1718,2032,96.777692027030994,4.0
1,2,1.0,[  69.42356995  167.29491763  123.9015614   301.53824041],0,10.546073061539891,-87.325274619552061,156.74884456576635,1.5088081920985132,1.0,3.0,2.0,6.0,69.423569946214286,167.29491762730623,123.90156139502085,301.53824041465305,1182,1057,401,941,77.821348019332746,4.0
1,3,5.0,[ 258.3159854   212.38725416   85.23800611  151.36869638],1,-1.8804469969522761,-1.8804469969522761,-99.803567604345048,1.7838408569805324,5.0,4.0,1.0,3.0,258.31598539870265,212.38725415662748,85.238006106592167,151.3686963761244,70,1113,1103,2298,43.320586592946519,4.0
1,4,3.0,[ 155.44118991  105.74259639   56.0208917   342.11912021],1,1.3021809245335731,1.3021809245335731,154.13900898407982,2.0005037651280873,3.0,2.0,1.0,7.0,155.44118990861341,105.74259639382043,56.020891697049095,342.11912021367692,1334,1770,1968,1618,280.50432092533356,4.0
1,5,2.0,[  95.71125001  316.66387317  172.37039581    4.22724953],0,-19.050301672073029,119.99707516572906,-24.285825155651285,1.0754370454815216,2.0,7.0,3.0,0.0,95.711250010077748,316.66387317227571,172.37039580810119,4.2272495261179071,1738,1432,1680,1329,356.37923764448237,4.0
1,6,0.0,[  42.81878538  227.53174103  124.78449789  303.23833736],1,4.3218413252973882,4.3218413252973882,38.496944055118313,1.6838325036223978,0.0,5.0,2.0,6.0,42.818785380415697,227.53174102576793,124.78449789012635,303.23833735842271,1621,457,1328,930,235.25928917547768,4.0
1,7,0.0,[  35.80549967  105.33600654  166.33689652  211.64964116],1,-3.2386233099821542,-3.2386233099821542,39.044122979005621,1.4254651417140849,0.0,2.0,3.0,4.0,35.805499669023469,105.33600653906257,166.33689651889608,211.64964116160175,942,626,128,895,57.022500341996299,4.0
