block,trial,cueposbin,cueposdeg,cuevalid,wmresptestimgdiff,wmrespcuediff,wmrespdeg,wmrts,imageposbin0,imageposbin1,imageposbin2,imageposbin3,imageposdeg0,imageposdeg1,imageposdeg2,imageposdeg3,imagenum0,imagenum1,imagenum2,imagenum3,mouseposdeg,ncues
0,0,7.0,[ 327.69650074  184.13865893   85.00322389   42.3748017 ],1,2.8171101607897979,2.8171101607897979,-35.120609420490879,1.1921101540465315,7.0,4.0,1.0,0.0,327.69650074029892,184.13865893292643,85.003223885243642,42.374801696892476,1005,1713,577,2013,324.48460746321564,1.0
0,1,4.0,[ 184.3226185   266.07453312  129.47634399   42.02538525],1,1.4491800071040484,1.4491800071040484,-177.1265615024065,1.2754518264209764,4.0,5.0,2.0,0.0,184.32261850469752,266.07453311580565,129.47634399348627,42.025385254898019,2226,23,834,394,295.1302360723929,1.0
0,2,6.0,[ 287.18853173  235.04630423   14.37354115   68.64516526],1,-3.8322114389246829,-3.8322114389246829,-68.979256834653512,1.3504641496729164,6.0,5.0,0.0,1.0,287.18853172642179,235.04630423049537,14.37354115096567,68.64516525932153,273,1004,1797,1800,203.93458132809042,1.0
0,3,2.0,[ 123.5090815   168.85416609  215.47017268  322.00917113],1,-8.051048804677464,-8.051048804677464,131.56013030625397,1.2837877327419847,2.0,3.0,4.0,7.0,123.5090815015765,168.85416609304295,215.47017267620788,322.0091711265423,132,1603,2136,2297,342.49674714000236,1.0
0,4,7.0,[ 333.82879535  136.36330201  274.90005431   41.70811672],1,-3.5159719392973074,-3.5159719392973074,-22.65523270867979,1.2754529668036412,7.0,3.0,6.0,0.0,333.82879535202289,136.36330201433142,274.90005430826272,41.708116715957388,126,1039,550,1227,160.68524613589884,1.0
0,5,7.0,[ 316.36766174   16.03055612  203.41310408   90.6147418 ],1,-1.8659503810978437,-1.8659503810978437,-41.766387875112137,1.2921262049203506,7.0,0.0,4.0,2.0,316.36766174378999,16.030556119145952,203.41310408272602,90.614741796380486,1190,418,1989,1237,139.74787259716229,1.0
0,6,3.0,[ 173.57258714   94.84794381  261.26183228  219.14198929],1,-4.6513686048921183,-4.6513686048921183,178.22395574664125,0.95040308222269232,3.0,2.0,5.0,4.0,173.57258714174915,94.847943813693632,261.26183227594407,219.14198928579185,1739,1888,1486,2128,198.7219229627913,1.0
0,7,6.0,[ 293.11796123  245.30662555   74.03282465   24.94441314],1,11.264957059567749,11.264957059567749,-78.14699583225601,1.0920946733622259,6.0,5.0,1.0,0.0,293.11796122731175,245.30662554843494,74.032824646850983,24.944413135183034,51,2034,373,1970,288.22858458687352,1.0
0,8,2.0,[ 107.09948067  335.51845211   42.05232588  233.76994171],1,-14.669046588434393,-14.669046588434393,121.76852726293325,1.2671110734791,2.0,7.0,0.0,5.0,107.09948067449886,335.51845211153625,42.052325879036623,233.76994171189219,1624,846,1659,2187,273.67925925579118,1.0
0,9,2.0,[  97.61930963  359.83344813  279.72028462  150.17732032],1,-18.053664822990871,-18.053664822990871,115.67297445232447,2.3255901404863835,2.0,7.0,6.0,3.0,97.6193096293336,359.83344813037871,279.7202846186384,150.17732031680305,113,623,2156,1608,200.70042006333335,1.0
0,10,1.0,[  47.45565652  225.73682531  290.07044197  332.12689982],1,1.1826264975147596,1.1826264975147596,46.273030020056716,1.075426852057717,1.0,5.0,6.0,7.0,47.455656517571477,225.73682530830453,290.07044197333681,332.12689982389844,736,584,2277,2213,300.93492476344426,1.0
0,11,5.0,[ 255.97730998  125.75476773   84.40517913  172.62398675],1,7.478744304556737,7.478744304556737,-111.50143432404792,1.208777405157889,5.0,2.0,1.0,3.0,255.97730998050886,125.7547677303523,84.405179129833925,172.62398674583534,316,124,1770,865,162.78383332457236,1.0
0,12,0.0,[  40.51602296  346.7731474   227.85806022  180.02016939],0,4.5845875640747833,58.327463122542007,-17.811440165278078,1.1587699499123119,0.0,7.0,5.0,4.0,40.516022957263921,346.77314739879671,227.85806021772771,180.02016938921611,219,1171,1074,263,93.970538898019484,1.0
0,13,5.0,[ 263.80618841  310.31221768  159.1323988    13.88385506],0,-0.017651962580230406,-46.523681228381633,-49.670130359300963,1.4338118090545322,5.0,6.0,3.0,0.0,263.8061884123174,310.31221767811883,159.13239879881647,13.883855064391245,704,1038,2285,645,232.88701622414669,1.0
0,14,3.0,[ 172.54827138  307.21543113   60.96194109  109.3057298 ],1,-7.8924566886999292,-7.8924566886999292,-179.559271927239,1.4504773495937116,3.0,6.0,1.0,2.0,172.54827138406105,307.21543112601341,60.961941088812097,109.30572980115139,262,28,896,267,55.797567851148855,1.0
0,15,0.0,[  20.25574109   87.30434616  316.33593768  155.04712932],0,-10.639125653239928,-77.687730723352914,97.943471810590424,1.2754523966123088,0.0,1.0,7.0,3.0,20.255741087237514,87.304346157350494,316.33593767914118,155.04712932490526,1028,1973,167,972,11.517096787538495,1.0
0,16,3.0,[ 168.27645144  349.65146505  298.59414934   63.41127863],1,-7.3416307190924313,-7.3416307190924313,175.61808215683379,0.95041961776041717,3.0,7.0,6.0,1.0,168.27645143774137,349.65146504828084,298.59414933678391,63.411278625197397,34,194,1375,58,350.10717496024046,1.0
0,17,1.0,[  63.81838892  304.1961708   172.69180608  248.70540968],1,-0.81420661700623798,-0.81420661700623798,64.632595537530406,1.4004653328192944,1.0,6.0,3.0,5.0,63.818388920524164,304.19617080116046,172.69180608051494,248.70540968148714,1742,748,1768,2025,173.73689556569852,1.0
0,18,6.0,[ 304.48659479  183.08766366  238.61413334   49.91342294],0,-63.449441179852876,57.949489944222194,-113.46289515635016,1.2087032803356124,6.0,4.0,5.0,1.0,304.48659478787204,183.08766366379697,238.61413333535788,49.913422936693337,270,1798,2109,2028,14.334259660958594,1.0
0,19,4.0,[ 183.91998134  289.45473281  356.86770617  240.26498882],1,-1.3338214095022696,-1.3338214095022696,-174.74619724873773,2.1672102011725656,4.0,6.0,7.0,5.0,183.91998134175998,289.45473281030985,356.8677061687327,240.26498881954021,927,1598,5,1288,335.94313984412764,1.0
0,20,1.0,[  89.83824081  281.31254065  133.67973244  197.27281626],1,-6.1591597681552583,-6.1591597681552583,95.997400573915542,1.4921779782562226,1.0,6.0,2.0,4.0,89.838240805760279,281.31254065100831,133.679732441385,197.27281626115132,1708,1758,1537,548,290.61145253866874,1.0
0,21,0.0,[  16.43436553  287.9879908   242.74099863   77.22365613],1,1.8041248983725757,1.8041248983725757,14.63024063551782,1.225451498559778,0.0,6.0,5.0,1.0,16.434365533890396,287.98799079534859,242.74099862927025,77.223656129354168,1675,1942,1812,2122,171.18381344507,1.0
0,22,5.0,[ 256.68508811  312.7209827   161.61079162  356.61911384],0,13.400506821319707,-42.635387772171008,-60.679524122419245,1.2671182008652977,5.0,6.0,3.0,7.0,256.68508810540976,312.72098269890046,161.61079161564379,356.61911384136897,1407,746,1007,1857,161.03735950902831,1.0
0,23,4.0,[ 196.88678828  353.04714556  278.95284611   45.61596403],0,-4.0570924660291903,-160.21744974376847,-2.8957619734665792,1.3254587114770402,4.0,7.0,6.0,1.0,196.886788282765,353.04714556050419,278.95284611244642,45.615964025664347,1703,934,1913,2092,119.04750796759627,1.0
1,0,0.0,[  10.30862225  219.33865937   60.16562127  263.19469921],1,0.48089824180663299,0.48089824180663299,9.8277240111631166,1.3254618475275493,0.0,4.0,1.0,5.0,10.30862225296975,219.33865936750652,60.1656212668602,263.19469920614029,43,1388,1243,272,324.56779194182917,1.0
1,1,5.0,[ 248.60858821   72.61964892  150.34215215  310.75439767],1,0.94087710925430335,0.94087710925430335,-112.33228890064873,1.0420875032104959,5.0,1.0,3.0,6.0,248.6085882086056,72.619648924312372,150.34215214726117,310.75439766996732,2125,1581,359,227,1.3702700223098141,1.0
1,2,5.0,[ 232.33565842  152.43363641  336.24494849   83.16426765],1,-5.447795516732139,-5.447795516732139,-122.21654605857566,1.2254554898972856,5.0,3.0,7.0,1.0,232.33565842469221,152.43363641062365,336.24494849331182,83.164267646001548,642,2173,198,899,185.42407734675294,1.0
1,3,0.0,[  10.31554405  268.99758487  149.72844066  203.54266427],0,-23.991131935234943,77.326827246854364,-67.011283197919369,1.3587994858025922,0.0,5.0,3.0,4.0,10.315544048934992,268.99758486684567,149.72844066290119,203.54266426953831,294,854,2157,1504,353.77152410008512,1.0
