block,trial,conditionNum,ltmtrialsoldnew,ltmTrialsOldInvalidCued,ltmTrialsOldInvalidTested,ltmTrialsOldValidCued,ltmWMblockNum,ltmWMtrialNum,ltmWMimageNum,imageNum,ltmrating,ltmratingrts,ltmresptestimgdiff,ltmrespcuediff,ltmrespwmrespdiff,ltmrespdeg,mousposdeg,ltmresprts,artifactfree
0,0,2.0,1.0,1.0,0.0,0.0,0,17,0,1014.0,3.0,7.9427238058997318,-84.192379779971276,37.555261249894286,-98.961579160920635,42.651646686900406,264.90379229945233,1.1838167289388366,1
0,1,0.0,0.0,0.0,0.0,0.0,0,0,0,2276.0,1.0,4.2255644113756716,0.0,0.0,0.0,0.0,13.692339738663254,0.0,1
0,2,0.0,0.0,0.0,0.0,0.0,0,0,0,2252.0,4.0,2.9754133087117225,0.0,0.0,0.0,0.0,198.0883001411255,0.0,1
0,3,1.0,1.0,0.0,0.0,1.0,0,0,0,2032.0,2.0,4.3422353735077195,-52.751758440530359,-52.751758440530359,-46.482286010538914,-92.036325454798288,17.32437845773881,7.3513214929262176,1
0,4,0.0,0.0,0.0,0.0,0.0,0,0,0,1411.0,4.0,2.2503096180153079,0.0,0.0,0.0,0.0,153.62766038328184,0.0,1
0,5,1.0,1.0,0.0,0.0,1.0,0,20,0,471.0,1.0,3.6421058243722655,88.782875003196551,88.782875003196551,82.584293246348977,-49.316027519865635,258.63752293155142,1.7088920807582326,1
0,6,0.0,0.0,0.0,0.0,0.0,0,0,0,347.0,4.0,3.6504760590614751,0.0,0.0,0.0,0.0,266.74902657351896,0.0,1
0,7,2.0,1.0,1.0,0.0,0.0,0,3,0,555.0,1.0,1.3668354645487852,-125.33553877234152,-20.423305141841489,74.264153185243828,42.184443315788769,15.597619508842486,1.8589099849923514,1
0,8,3.0,1.0,0.0,1.0,0.0,0,19,1,1275.0,1.0,2.2419527829624712,16.639163563379071,-87.601525606528384,9.7022366229929204,-34.335424482548255,190.30063531453587,1.3422003063024022,1
0,9,0.0,0.0,0.0,0.0,0.0,0,0,0,1457.0,3.0,5.2256904253736138,0.0,0.0,0.0,0.0,144.50501706746368,0.0,1
0,10,0.0,0.0,0.0,0.0,0.0,0,0,0,226.0,4.0,1.7168982434668578,0.0,0.0,0.0,0.0,44.072499346325287,0.0,1
0,11,3.0,1.0,0.0,1.0,0.0,0,18,1,983.0,1.0,1.5667985156760551,48.071171645886032,101.00366378456197,41.612475081470215,-41.0868404750126,232.19345259974381,1.3838199790916406,1
0,12,1.0,1.0,0.0,0.0,1.0,0,8,0,1890.0,1.0,1.4835169753641821,-42.814806339895668,-42.814806339895668,-39.652028686704256,-3.6577666389743846,249.48963127196438,3.3924607731751166,1
0,13,1.0,1.0,0.0,0.0,1.0,0,4,0,2210.0,1.0,1.2168107178877108,16.505051337953908,16.505051337953908,9.9423218997978715,-37.760162603377971,85.218469003392286,1.0504634576500393,1
0,14,0.0,0.0,0.0,0.0,0.0,0,0,0,275.0,4.0,3.3587859667022713,0.0,0.0,0.0,0.0,235.31427569129158,0.0,1
0,15,0.0,0.0,0.0,0.0,0.0,0,0,0,1371.0,3.0,3.9005156878847629,0.0,0.0,0.0,0.0,33.610400571429871,0.0,1
0,16,0.0,0.0,0.0,0.0,0.0,0,0,0,838.0,1.0,2.450311157561373,0.0,0.0,0.0,0.0,254.80079937827986,0.0,1
0,17,0.0,0.0,0.0,0.0,0.0,0,0,0,1257.0,4.0,4.083869130234234,0.0,0.0,0.0,0.0,44.187174980260671,0.0,1
0,18,0.0,0.0,0.0,0.0,0.0,0,0,0,127.0,4.0,4.5006172402645461,0.0,0.0,0.0,0.0,64.771234288344232,0.0,1
0,19,0.0,0.0,0.0,0.0,0.0,0,0,0,2062.0,3.0,6.3508468023501337,0.0,0.0,0.0,0.0,328.69074719470223,0.0,1
