block,trial,conditionNum,ltmtrialsoldnew,ltmTrialsOldInvalidCued,ltmTrialsOldInvalidTested,ltmTrialsOldValidCued,ltmWMblockNum,ltmWMtrialNum,ltmWMimageNum,imageNum,ltmrating,ltmratingrts,ltmresptestimgdiff,ltmrespcuediff,ltmrespwmrespdiff,ltmrespdeg,mousposdeg,ltmresprts,artifactfree
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,1870.0,4.0,10.843111484136898,0.0,0.0,0.0,0.0,195.40107436974114,0.0,1
0,1,0.0,0.0,0.0,0.0,0.0,0,0,0,291.0,1.0,5.0840071183629334,0.0,0.0,0.0,0.0,39.335128028702698,0.0,1
0,2,1.0,1.0,0.0,0.0,1.0,0,7,0,63.0,1.0,1.0918000267120078,0.8582666984346542,0.8582666984346542,1.9049224012939994,125.59921995897616,93.255283275895678,2.8089967692794744,1
0,3,1.0,1.0,0.0,0.0,1.0,0,14,0,661.0,1.0,2.3919692617200781,-20.823557800999971,-20.823557800999971,-12.991143123764768,117.15570839172467,6.9187282137024964,1.7088239419681486,1
0,4,3.0,1.0,0.0,1.0,0.0,0,16,1,1637.0,1.0,2.6753495604498312,-30.454895419835569,-152.16859187213879,-9.9805174180812646,138.32312044513543,58.487420119101017,1.758934731624322,1
0,5,3.0,1.0,0.0,1.0,0.0,0,22,1,1341.0,1.0,2.2752937379409559,29.604287888111017,153.67091122950148,22.423340148069236,57.295266422998161,96.75292642702432,1.6922200352128129,1
0,6,1.0,1.0,0.0,0.0,1.0,0,11,0,919.0,1.0,2.0502028767659795,31.51607183486616,31.51607183486616,17.145256910407642,-143.7461622625552,268.56754506731551,1.6505624442070257,1
0,7,0.0,0.0,0.0,0.0,0.0,0,0,0,2260.0,2.0,3.7754878906998783,0.0,0.0,0.0,0.0,63.166429791526191,0.0,1
0,8,2.0,1.0,1.0,0.0,0.0,0,6,0,2145.0,4.0,5.7924196618259884,-26.910013520816488,-176.66001067770361,-19.30361234494131,-128.50065372034544,95.451899038717045,8.8515033863950521,1
0,9,0.0,0.0,0.0,0.0,0.0,0,0,0,1305.0,2.0,6.3841210441023577,0.0,0.0,0.0,0.0,348.66095364226442,0.0,1
0,10,3.0,1.0,0.0,1.0,0.0,0,5,1,1978.0,1.0,1.8752387707936577,-21.226852081111254,75.749238954010735,-13.774084110008019,-107.10272896905238,274.84964214323469,0.98379751323955134,1
0,11,0.0,0.0,0.0,0.0,0.0,0,0,0,1050.0,3.0,3.5504606066679116,0.0,0.0,0.0,0.0,1.2128124011052543,0.0,1
0,12,3.0,1.0,0.0,1.0,0.0,0,8,1,856.0,2.0,3.2170846984663513,-27.45766398363617,126.77269367490761,-21.655286594829054,150.3536778595942,309.32395842200117,2.1422754585219081,1
0,13,1.0,1.0,0.0,0.0,1.0,0,21,0,1972.0,1.0,3.0003948627272621,119.48943363382416,119.48943363382416,124.29623691496872,-101.51383118448702,207.02175989451155,1.5755279756849632,1
