block,trial,conditionNum,ltmtrialsoldnew,ltmTrialsOldInvalidCued,ltmTrialsOldInvalidTested,ltmTrialsOldValidCued,ltmWMblockNum,ltmWMtrialNum,ltmWMimageNum,imageNum,ltmrating,ltmratingrts,ltmresptestimgdiff,ltmrespcuediff,ltmrespwmrespdiff,ltmrespdeg,mousposdeg,ltmresprts
0,0,0.0,0,0,0.0,0.0,0,0,0,541,3.0,2.6503217168954052,0.0,0.0,0.0,0.0,317.56738888383086,0.0
0,1,1.0,1,0,0.0,1.0,0,9,0,729,1.0,1.666766355332129,-8.5312499999999858,-51.954920367971184,-74.531250000000014,123.63328282751232,129.10744030830497,1.767176694405407
0,2,0.0,0,0,0.0,0.0,0,0,0,28,3.0,1.1334669674622546,0.0,0.0,0.0,0.0,284.68978005744509,0.0
0,3,0.0,0,0,0.0,0.0,0,0,0,1119,4.0,1.083461935512787,0.0,0.0,0.0,0.0,111.50939380153444,0.0
0,4,1.0,1,0,0.0,1.0,0,1,0,978,2.0,1.1001280937580304,12.015625000000007,44.675286826219832,-169.45312499999997,26.933507702415692,253.68115639834315,2.4755862078402515
0,5,0.0,0,0,0.0,0.0,0,0,0,529,3.0,2.3002847826726338,0.0,0.0,0.0,0.0,354.31123979633446,0.0
0,6,1.0,1,0,0.0,1.0,0,6,0,822,1.0,2.6086480534909242,3.1093750000000209,126.95045790558753,0.0,-40.44364156151078,286.58952490103746,2.2088606782951956
0,7,1.0,1,0,0.0,1.0,0,2,0,180,2.0,1.0418005312485548,-172.45312500000006,-166.73334817720612,-124.45312500000001,-112.39166105854582,243.06725483921954,3.1839903044458424
0,8,1.0,1,0,0.0,1.0,0,7,0,866,1.0,0.90010996163459822,-174.34375,-172.42594026266099,-132.89062499999997,-169.3150875999973,55.168270062017093,3.0506704466631618
0,9,0.0,0,0,0.0,0.0,0,0,0,166,3.0,1.0167881794520781,0.0,0.0,0.0,0.0,288.06793013550362,0.0
0,10,0.0,0,0,0.0,0.0,0,0,0,1037,4.0,1.1083779247669554,0.0,0.0,0.0,0.0,295.51320508192879,0.0
0,11,1.0,1,0,0.0,1.0,0,10,0,186,3.0,1.8168895026694827,126.75,169.19341536230121,168.75,-81.778419629619393,90.27242356741597,1.2087665965234464
0,12,0.0,0,0,0.0,0.0,0,0,0,411,4.0,1.2001507018928805,0.0,0.0,0.0,0.0,45.302472234577266,0.0
0,13,3.0,1,0,1.0,0.0,0,13,0,971,1.0,1.0751245799463049,142.0625,-176.73003795136685,0.0,89.796824328533631,7.3189059914275401,1.4087622060408194
0,14,0.0,0,0,0.0,0.0,0,0,0,384,3.0,0.83343620557388931,0.0,0.0,0.0,0.0,312.71407810936432,0.0
0,15,0.0,0,0,0.0,0.0,0,0,0,12,3.0,1.0751260054275917,0.0,0.0,0.0,0.0,167.23684595957974,0.0
0,16,1.0,1,0,0.0,1.0,0,11,0,48,2.0,0.93343914206548106,161.64062500000003,82.696615546434344,-47.109375000000021,-4.44738485009049,332.43016614336665,2.475560264078922
0,17,1.0,1,0,0.0,1.0,0,14,0,469,3.0,1.3918309082569067,30.187499999999993,-28.684416385072343,-2.8125000000000044,-52.418650060113464,38.997171647361128,2.9006373897498179
0,18,0.0,0,0,0.0,0.0,0,0,0,803,4.0,0.84177185056296366,0.0,0.0,0.0,0.0,74.549712177880963,0.0
0,19,3.0,1,0,1.0,0.0,0,12,0,1001,3.0,1.000120310629427,-57.453125000000007,155.74743031584597,-124.45312500000001,102.7500258358164,150.59133511709337,0.84207405261804524
0,20,0.0,0,0,0.0,0.0,0,0,0,1091,3.0,0.93345282668701657,0.0,0.0,0.0,0.0,186.54540319608284,0.0
0,21,1.0,1,0,0.0,1.0,0,8,0,585,2.0,0.80842584945139606,-44.890625000000036,41.451880199729302,124.45312499999999,-131.22453417571018,59.386347677095877,0.76711140735778827
0,22,1.0,1,0,0.0,1.0,0,0,0,667,3.0,1.0001243019773938,64.265625,31.031435498772058,172.265625,55.736420302415091,188.4881661484448,1.0670757418133689
0,23,0.0,0,0,0.0,0.0,0,0,0,1042,4.0,0.87511129445965707,0.0,0.0,0.0,0.0,269.18012396815351,0.0
0,24,0.0,0,0,0.0,0.0,0,0,0,686,4.0,0.75842281317613924,0.0,0.0,0.0,0.0,102.29680591223899,0.0
0,25,1.0,1,0,0.0,1.0,0,5,0,293,4.0,0.79175512966617134,8.9218750000000124,58.121277395714138,139.921875,174.06583454045108,359.55265173473356,0.98374181452959419
0,26,3.0,1,0,1.0,0.0,0,3,0,390,2.0,1.2418146720237928,-71.062500000000014,172.81187168099893,120.9375,-13.010466246425946,325.31552127287705,2.7172534850883494
0,27,0.0,0,0,0.0,0.0,0,0,0,439,4.0,0.68332018564319696,0.0,0.0,0.0,0.0,182.47549276557061,0.0
0,28,1.0,1,0,0.0,1.0,0,4,0,606,2.0,1.4418407868429313,155.734375,-17.836524196230954,161.71874999999997,-111.53078366043853,68.691876887314294,0.84205637664854294
0,29,0.0,0,0,0.0,0.0,0,0,0,1105,4.0,0.70009154441504506,0.0,0.0,0.0,0.0,350.2729270441489,0.0
0,30,3.0,1,0,1.0,0.0,0,15,0,41,2.0,1.2251636238815991,168.34374999999997,1.5381776593530674,32.34375,70.854542419491239,353.78042967258148,1.3504583065223414
0,31,0.0,0,0,0.0,0.0,0,0,0,18,4.0,0.94179217792748204,0.0,0.0,0.0,0.0,337.24959725808401,0.0
1,0,3.0,1,0,1.0,0.0,1,7,0,1088,3.0,2.8253446029991665,-145.70312499999997,141.57467454548626,134.296875,84.637767466731688,54.675376626190825,3.2256824991084159
